Unidade,Perda Primária (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),Índice de Retorno (%),tipo_unidade,periodo,ano
Unidade,Perda Primária (%),Primeira Consulta,Interconsulta,Subsequente,Índice de Retorno (%),,,
AME ANDRADINA,-0.41,13.44,15.02,12.11,1.13,Ambulatorial,3º Trimestre,2018
AME ARAÇATUBA,1.0,17.84,13.61,10.75,1.15,Ambulatorial,3º Trimestre,2018
AME ASSIS,0.77,17.1,7.02,11.13,1.55,Ambulatorial,3º Trimestre,2018
AME ATIBAIA,-2.51,17.05,13.83,15.79,1.18,Ambulatorial,3º Trimestre,2018
AME BARRETOS - CIRURGICO,-0.67,15.54,7.7,15.85,0.5,Ambulatorial,3º Trimestre,2018
AME BARRETOS - GERAL,1.37,14.31,11.73,12.58,1.92,Ambulatorial,3º Trimestre,2018
AME BAURU,0.18,15.25,10.27,11.93,0.72,Ambulatorial,3º Trimestre,2018
AME BOTUCATU,-1.37,21.06,6.28,7.94,0.2,Ambulatorial,3º Trimestre,2018
AME BOURROUL,3.54,28.36,9.57,16.02,1.89,Ambulatorial,3º Trimestre,2018
AME CARAGUATATUBA,2.05,23.71,9.16,14.34,1.21,Ambulatorial,3º Trimestre,2018
AME CARAPICUIBA,6.64,23.97,14.38,19.04,1.0,Ambulatorial,3º Trimestre,2018
AME CASA BRANCA,0.1,11.58,4.29,8.86,1.79,Ambulatorial,3º Trimestre,2018
AME CATANDUVA,-1.24,15.19,12.36,17.3,0.99,Ambulatorial,3º Trimestre,2018
AME DRACENA,1.37,14.19,10.27,11.42,0.97,Ambulatorial,3º Trimestre,2018
AME FERNANDÓPOLIS,0.87,11.98,6.08,8.88,1.34,Ambulatorial,3º Trimestre,2018
AME FRANCA,0.74,12.57,6.71,8.88,1.23,Ambulatorial,3º Trimestre,2018
AME BARRADAS,6.87,22.83,7.98,11.47,1.7,Ambulatorial,3º Trimestre,2018
AME IDOSO OESTE,3.27,22.61,14.39,21.6,1.25,Ambulatorial,3º Trimestre,2018
AME IDOSO SUDESTE,11.17,22.83,17.06,13.48,1.33,Ambulatorial,3º Trimestre,2018
AME INTERLAGOS,5.95,23.7,24.23,25.11,1.34,Ambulatorial,3º Trimestre,2018
AME ITAPETININGA,-1.52,13.84,9.41,10.82,0.69,Ambulatorial,3º Trimestre,2018
AME ITAPEVA,0.63,13.71,9.52,13.65,1.26,Ambulatorial,3º Trimestre,2018
AME ITAPEVI,5.18,24.52,14.0,13.43,1.32,Ambulatorial,3º Trimestre,2018
AME ITU,3.93,20.26,9.56,8.54,1.35,Ambulatorial,3º Trimestre,2018
AME ITUVERAVA,-1.33,8.91,6.65,8.54,1.12,Ambulatorial,3º Trimestre,2018
AME JALES,-7.5,10.46,8.94,12.39,0.85,Ambulatorial,3º Trimestre,2018
AME JD DOS PRADOS,-0.5,29.06,20.42,13.69,1.47,Ambulatorial,3º Trimestre,2018
AME JUNDIAÍ,-4.95,16.92,8.39,13.46,1.35,Ambulatorial,3º Trimestre,2018
AME LORENA,2.48,20.51,10.05,14.69,1.14,Ambulatorial,3º Trimestre,2018
AME MARIA ZELIA,1.07,33.93,15.17,15.33,4.31,Ambulatorial,3º Trimestre,2018
AME MAUÁ,-4.03,35.9,11.31,12.39,1.72,Ambulatorial,3º Trimestre,2018
AME MOGI DAS CRUZES,0.63,23.17,11.34,12.88,0.69,Ambulatorial,3º Trimestre,2018
AME OURINHOS,4.55,17.47,12.32,15.28,0.76,Ambulatorial,3º Trimestre,2018
AME PARIQUERA-ACU,-22.54,19.24,10.28,11.79,0.82,Ambulatorial,3º Trimestre,2018
AME PRAIA GRANDE,2.0,18.58,6.82,14.47,0.75,Ambulatorial,3º Trimestre,2018
AME PRESIDENTE PRUDENTE,0.47,16.14,10.95,13.28,0.97,Ambulatorial,3º Trimestre,2018
AME PROMISSÃO,0.76,18.08,13.2,15.41,1.02,Ambulatorial,3º Trimestre,2018
AME SANTO ANDRÉ,2.29,34.34,6.92,14.94,1.08,Ambulatorial,3º Trimestre,2018
AME SANTOS,7.09,24.52,13.6,13.2,1.1,Ambulatorial,3º Trimestre,2018
AME SAO CARLOS,7.56,15.91,19.5,21.82,0.31,Ambulatorial,3º Trimestre,2018
AME SAO VICENTE,-0.94,30.09,17.91,12.06,0.25,Ambulatorial,3º Trimestre,2018
AME SJ DOS CAMPOS,-1.92,23.17,14.91,18.81,0.56,Ambulatorial,3º Trimestre,2018
AME SJ RIO PRETO,-0.94,15.69,7.23,12.44,1.07,Ambulatorial,3º Trimestre,2018
AME SOROCABA,2.78,19.97,10.26,16.6,1.36,Ambulatorial,3º Trimestre,2018
AME STA FÉ DO SUL,-5.37,8.03,6.88,11.24,0.86,Ambulatorial,3º Trimestre,2018
AME TABOÃO DA SERRA,-1.47,25.57,14.89,14.36,1.14,Ambulatorial,3º Trimestre,2018
AME TAQUARITINGA,2.32,15.52,12.23,13.53,0.74,Ambulatorial,3º Trimestre,2018
AME TUPÃ,1.16,14.51,8.63,8.6,0.84,Ambulatorial,3º Trimestre,2018
AME VILA MARIA - PSIQUIATRIA,1.19,34.36,13.65,19.37,4.89,Ambulatorial,3º Trimestre,2018
AME VOTUPORANGA,-0.03,12.6,9.36,9.72,1.07,Ambulatorial,3º Trimestre,2018
AME ZONA LESTE,23.63,29.24,17.3,19.58,2.81,Ambulatorial,3º Trimestre,2018
CRI ZONA NORTE,2.09,21.45,18.41,16.3,2.38,Ambulatorial,3º Trimestre,2018
