Unidade,Leitos Operacionais,Taxa de Ocupação (%),Média Permanência (dias),Índice de Intervalo de Substituição (%),Índice de Giro (%),tipo_unidade,periodo,ano
CAISM - FRANCO DA ROCHA,46,87.03,17.97,2.68,1.45,Hospitalar,1º Trimestre,2019
CENTRO HOSP SIST PENITENCIARIO,251,53.07,45.93,40.62,0.35,Hospitalar,1º Trimestre,2019
CONJ HOSP SOROCABA,374,88.01,9.84,1.34,2.68,Hospitalar,1º Trimestre,2019
CRSM MATER - RIBEIRAO PRETO,42,88.14,2.78,0.37,9.53,Hospitalar,1º Trimestre,2019
EMILIO RIBAS BAIXADA SANTISTA,33,80.98,12.78,3.0,1.9,Hospitalar,1º Trimestre,2019
HM SANTA ISABEL,73,95.11,3.49,0.18,8.17,Hospitalar,1º Trimestre,2019
HOSP BRIGADEIRO,108,90.02,5.1,0.57,5.29,Hospitalar,1º Trimestre,2019
HOSP CARAPICUIBA,256,86.01,4.65,0.76,5.55,Hospitalar,1º Trimestre,2019
HOSP COTIA,179,92.08,4.43,0.38,6.24,Hospitalar,1º Trimestre,2019
HOSP EST AMERICO BRASILIENSE,82,83.8,4.89,0.94,5.15,Hospitalar,1º Trimestre,2019
HOSP EST DE BAURU,328,86.41,6.64,1.04,3.9,Hospitalar,1º Trimestre,2019
HOSP EST DE RIBEIRAO PRETO,46,71.57,4.58,1.82,4.69,Hospitalar,1º Trimestre,2019
HOSP EST DE SERRANA,0,0.0,0.0,0.0,0.0,Hospitalar,1º Trimestre,2019
HOSP ESTADUAL DE DIADEMA,236,81.02,6.13,1.44,3.97,Hospitalar,1º Trimestre,2019
HOSP FRANCISCO MORATO,109,82.65,5.28,1.11,4.7,Hospitalar,1º Trimestre,2019
HOSP FRANCO DA ROCHA,134,85.16,8.75,1.52,2.92,Hospitalar,1º Trimestre,2019
HOSP GERAL DE GUARULHOS,308,95.29,5.86,0.29,4.88,Hospitalar,1º Trimestre,2019
HOSP GRAJAU,320,85.93,5.15,0.84,5.01,Hospitalar,1º Trimestre,2019
HOSP ITAIM PAULISTA,277,89.51,6.24,0.73,4.3,Hospitalar,1º Trimestre,2019
HOSP ITAPECERICA DA SERRA,227,92.96,4.97,0.38,5.61,Hospitalar,1º Trimestre,2019
HOSP ITAPEVI,247,82.16,4.55,0.99,5.42,Hospitalar,1º Trimestre,2019
HOSP LUZIA PINHO DE MELO,314,98.84,7.73,0.09,3.83,Hospitalar,1º Trimestre,2019
HOSP MANOEL DE ABREU - BAURU,0,0.0,0.0,0.0,0.0,Hospitalar,1º Trimestre,2019
HOSP MARIO COVAS,287,80.49,7.07,1.71,3.42,Hospitalar,1º Trimestre,2019
HOSP PEDREIRA,348,91.23,5.53,0.53,4.95,Hospitalar,1º Trimestre,2019
HOSP PIRAJUSSARA,265,92.67,6.1,0.48,4.56,Hospitalar,1º Trimestre,2019
HOSP REG DE ITANHAEM,153,79.65,4.64,1.19,5.15,Hospitalar,1º Trimestre,2019
HOSP REG DE PORTO PRIMAVERA,82,72.0,5.93,2.31,3.64,Hospitalar,1º Trimestre,2019
HOSP REG PRES PRUDENTE,535,84.69,7.25,1.31,3.5,Hospitalar,1º Trimestre,2019
HOSP REG REGISTRO,38,53.26,4.01,3.52,3.99,Hospitalar,1º Trimestre,2019
HOSP REG SAO JOSE DOS CAMPOS,140,74.78,5.78,1.95,3.88,Hospitalar,1º Trimestre,2019
HOSP REGIONAL DE SOROCABA,181,58.25,4.2,3.01,4.16,Hospitalar,1º Trimestre,2019
HOSP SAPOPEMBA,204,86.37,4.74,0.75,5.47,Hospitalar,1º Trimestre,2019
HOSP SM DE ITAQUAQUECETUBA,294,84.22,6.8,1.27,3.71,Hospitalar,1º Trimestre,2019
HOSP VILA ALPINA,238,85.03,4.32,0.76,5.91,Hospitalar,1º Trimestre,2019
HOSPITAL REGIONAL DE JUNDIAI,122,50.36,2.33,2.3,6.48,Hospitalar,1º Trimestre,2019
INST REAB LUCY MONTORO,47,84.47,36.14,6.65,0.7,Hospitalar,1º Trimestre,2019
PAI BAIXADA SANTISTA,30,94.39,31.37,1.86,0.9,Hospitalar,1º Trimestre,2019
PAI ZONA NORTE,47,99.27,8.97,0.07,3.32,Hospitalar,1º Trimestre,2019
UNIDADE DE RECOMECO HELVETIA,21,87.81,21.14,2.94,1.25,Hospitalar,1º Trimestre,2019
