Unidade,Leitos Operacionais,Taxa de Ocupação (%),Média Permanência (dias),Índice de Intervalo de Substituição (%),Índice de Giro (%),tipo_unidade,periodo,ano
HOSP EST AMERICO BRASILIENSE,82,78.54,5.07,1.38,4.73,Hospitalar,4º Trimestre,2018
HOSP EST DE BAURU,326,85.37,6.3,1.08,4.13,Hospitalar,4º Trimestre,2018
CAISM - FRANCO DA ROCHA,47,86.09,16.58,2.68,1.58,Hospitalar,4º Trimestre,2018
HOSP CARAPICUIBA,254,83.34,4.64,0.93,5.48,Hospitalar,4º Trimestre,2018
CONJ HOSP SOROCABA,163,87.96,9.16,1.25,2.93,Hospitalar,4º Trimestre,2018
HOSP COTIA,179,91.47,4.51,0.42,6.18,Hospitalar,4º Trimestre,2018
HOSP ESTADUAL DE DIADEMA,240,77.84,6.14,1.75,3.87,Hospitalar,4º Trimestre,2018
EMILIO RIBAS BAIXADA SANTISTA,32,83.76,12.46,2.42,2.05,Hospitalar,4º Trimestre,2018
HOSP FRANCISCO MORATO,109,79.64,5.38,1.38,4.51,Hospitalar,4º Trimestre,2018
HOSP FRANCO DA ROCHA,134,88.55,8.01,1.04,3.37,Hospitalar,4º Trimestre,2018
HOSP GRAJAU,325,90.2,5.55,0.6,4.96,Hospitalar,4º Trimestre,2018
HOSP GERAL DE GUARULHOS,315,92.42,5.98,0.49,4.72,Hospitalar,4º Trimestre,2018
HOSP BRIGADEIRO,101,90.48,4.89,0.51,5.64,Hospitalar,4º Trimestre,2018
HOSP ITAIM PAULISTA,285,95.23,6.36,0.32,4.57,Hospitalar,4º Trimestre,2018
HOSP REG DE ITANHAEM,160,70.16,4.61,1.96,4.64,Hospitalar,4º Trimestre,2018
HOSP ITAPECERICA DA SERRA,227,91.87,5.1,0.45,5.5,Hospitalar,4º Trimestre,2018
HOSP ITAPEVI,246,82.6,4.53,0.95,5.56,Hospitalar,4º Trimestre,2018
HOSP SM DE ITAQUAQUECETUBA,294,88.59,7.23,0.93,3.74,Hospitalar,4º Trimestre,2018
HOSPITAL REGIONAL DE JUNDIAI,122,48.11,2.39,2.58,6.14,Hospitalar,4º Trimestre,2018
INST REAB LUCY MONTORO,46,85.43,33.71,5.75,0.77,Hospitalar,4º Trimestre,2018
HOSP LUZIA PINHO DE MELO,315,98.92,7.45,0.08,4.05,Hospitalar,4º Trimestre,2018
HOSP MANOEL DE ABREU - BAURU,0,0.0,0.0,0.0,0.0,Hospitalar,4º Trimestre,2018
HM SANTA ISABEL,66,91.84,3.41,0.3,8.21,Hospitalar,4º Trimestre,2018
CRSM MATER - RIBEIRAO PRETO,41,82.03,2.94,0.64,8.51,Hospitalar,4º Trimestre,2018
PAI BAIXADA SANTISTA,30,94.32,28.67,1.73,1.0,Hospitalar,4º Trimestre,2018
PAI ZONA NORTE,45,99.15,9.02,0.08,3.35,Hospitalar,4º Trimestre,2018
HOSP PEDREIRA,357,93.58,5.63,0.39,5.07,Hospitalar,4º Trimestre,2018
CENTRO HOSP SIST PENITENCIARIO,251,55.21,46.7,37.89,0.36,Hospitalar,4º Trimestre,2018
HOSP PIRAJUSSARA,273,97.76,6.63,0.15,4.5,Hospitalar,4º Trimestre,2018
HOSP REG DE PORTO PRIMAVERA,82,66.94,5.9,2.91,3.46,Hospitalar,4º Trimestre,2018
HOSP REG PRES PRUDENTE,528,84.25,6.91,1.29,3.72,Hospitalar,4º Trimestre,2018
HOSP REG REGISTRO,0,183.33,1.1,-0.5,50.83,Hospitalar,4º Trimestre,2018
HOSP EST DE RIBEIRAO PRETO,42,67.33,4.24,2.06,4.84,Hospitalar,4º Trimestre,2018
HOSP MARIO COVAS,286,77.82,6.76,1.93,3.51,Hospitalar,4º Trimestre,2018
HOSP REG SAO JOSE DOS CAMPOS,148,71.87,6.46,2.53,3.4,Hospitalar,4º Trimestre,2018
HOSP SAPOPEMBA,204,85.33,4.78,0.82,5.45,Hospitalar,4º Trimestre,2018
HOSP EST DE SERRANA,0,0.0,0.0,0.0,0.0,Hospitalar,4º Trimestre,2018
HOSP REGIONAL DE SOROCABA,131,66.46,4.27,2.15,4.75,Hospitalar,4º Trimestre,2018
UNIDADE DE RECOMECO HELVETIA,21,88.97,19.67,2.44,1.38,Hospitalar,4º Trimestre,2018
HOSP VILA ALPINA,235,86.68,4.44,0.68,5.95,Hospitalar,4º Trimestre,2018
