Unidade,Perda Primária (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),Índice de Retorno (%),tipo_unidade,periodo,ano
Unidade,Perda Primária (%),Primeira Consulta,Interconsulta,Subsequente,Índice de Retorno (%),,,
AME ANDRADINA,1.95,13.83,13.86,13.25,1.06,Ambulatorial,1º Trimestre,2019
AME ARAÇATUBA,0.78,15.77,8.2,10.21,1.18,Ambulatorial,1º Trimestre,2019
AME ASSIS,2.28,15.42,5.85,9.16,1.42,Ambulatorial,1º Trimestre,2019
AME ATIBAIA,-1.29,17.38,12.38,15.89,1.32,Ambulatorial,1º Trimestre,2019
AME BARRADAS,8.53,26.34,9.16,13.09,1.59,Ambulatorial,1º Trimestre,2019
AME BARRETOS - CIRURGICO,4.48,15.99,8.44,16.26,0.65,Ambulatorial,1º Trimestre,2019
AME BARRETOS - GERAL,1.63,15.49,11.92,13.14,2.08,Ambulatorial,1º Trimestre,2019
AME BAURU,0.9,16.21,9.86,14.74,0.83,Ambulatorial,1º Trimestre,2019
AME BOTUCATU,1.91,16.72,7.81,13.37,0.54,Ambulatorial,1º Trimestre,2019
AME BOURROUL,3.77,30.06,10.55,16.88,1.87,Ambulatorial,1º Trimestre,2019
AME CARAGUATATUBA,-1.74,27.46,14.47,18.64,1.55,Ambulatorial,1º Trimestre,2019
AME CARAPICUIBA,3.39,26.38,18.03,17.7,1.05,Ambulatorial,1º Trimestre,2019
AME CASA BRANCA,0.02,13.51,10.06,9.65,1.83,Ambulatorial,1º Trimestre,2019
AME CATANDUVA,-1.96,16.49,10.99,15.53,1.03,Ambulatorial,1º Trimestre,2019
AME DRACENA,4.32,14.01,10.73,12.11,0.87,Ambulatorial,1º Trimestre,2019
AME FERNANDÓPOLIS,0.4,12.44,7.14,9.81,1.33,Ambulatorial,1º Trimestre,2019
AME FRANCA,0.79,12.21,6.53,9.63,1.09,Ambulatorial,1º Trimestre,2019
AME IDOSO OESTE,-2.66,25.08,14.38,21.3,1.78,Ambulatorial,1º Trimestre,2019
AME IDOSO SUDESTE,2.0,26.17,15.61,13.6,1.34,Ambulatorial,1º Trimestre,2019
AME INTERLAGOS,0.49,27.39,22.14,32.51,1.28,Ambulatorial,1º Trimestre,2019
AME ITAPETININGA,-0.4,15.46,10.4,11.68,0.81,Ambulatorial,1º Trimestre,2019
AME ITAPEVA,0.48,13.01,11.8,13.4,1.1,Ambulatorial,1º Trimestre,2019
AME ITAPEVI,5.35,24.11,12.73,12.47,1.57,Ambulatorial,1º Trimestre,2019
AME ITU,1.85,22.35,12.09,8.5,1.14,Ambulatorial,1º Trimestre,2019
AME ITUVERAVA,-0.1,11.19,7.22,10.15,1.04,Ambulatorial,1º Trimestre,2019
AME JALES,-2.28,9.28,7.32,12.94,0.9,Ambulatorial,1º Trimestre,2019
AME JD DOS PRADOS,3.16,30.44,20.9,13.54,1.54,Ambulatorial,1º Trimestre,2019
AME JUNDIAÍ,-0.31,19.72,6.76,12.77,0.94,Ambulatorial,1º Trimestre,2019
AME LORENA,2.22,21.44,12.17,14.86,1.19,Ambulatorial,1º Trimestre,2019
AME MARIA ZELIA,6.34,34.43,10.68,14.91,5.05,Ambulatorial,1º Trimestre,2019
AME MAUÁ,0.62,35.82,8.49,11.03,1.46,Ambulatorial,1º Trimestre,2019
AME MOGI DAS CRUZES,0.63,20.57,11.22,13.04,0.68,Ambulatorial,1º Trimestre,2019
AME OURINHOS,1.73,16.67,10.14,14.69,1.06,Ambulatorial,1º Trimestre,2019
AME PARIQUERA-ACU,-15.93,20.09,10.23,12.13,0.69,Ambulatorial,1º Trimestre,2019
AME PRAIA GRANDE,4.13,21.21,8.82,20.54,0.69,Ambulatorial,1º Trimestre,2019
AME PRESIDENTE PRUDENTE,2.08,16.29,13.34,15.17,0.72,Ambulatorial,1º Trimestre,2019
AME PROMISSÃO,0.47,18.52,15.26,15.37,1.05,Ambulatorial,1º Trimestre,2019
AME SANTO ANDRÉ,3.5,32.18,8.66,13.88,1.02,Ambulatorial,1º Trimestre,2019
AME SANTOS,11.19,26.72,17.6,15.77,1.11,Ambulatorial,1º Trimestre,2019
AME SAO CARLOS,5.46,17.28,16.46,18.01,0.45,Ambulatorial,1º Trimestre,2019
AME SAO VICENTE,5.24,26.65,15.65,14.3,0.49,Ambulatorial,1º Trimestre,2019
AME SJ DOS CAMPOS,4.13,23.11,14.24,18.57,0.65,Ambulatorial,1º Trimestre,2019
AME SJ RIO PRETO,-2.32,15.2,8.58,11.8,0.97,Ambulatorial,1º Trimestre,2019
AME SOROCABA,0.73,17.64,9.7,14.7,1.42,Ambulatorial,1º Trimestre,2019
AME STA FÉ DO SUL,-2.25,8.28,6.86,9.1,0.82,Ambulatorial,1º Trimestre,2019
AME TABOÃO DA SERRA,-0.67,27.37,19.4,17.41,1.45,Ambulatorial,1º Trimestre,2019
AME TAQUARITINGA,4.68,16.65,13.35,12.89,0.75,Ambulatorial,1º Trimestre,2019
AME TUPÃ,1.85,15.11,7.67,8.59,0.82,Ambulatorial,1º Trimestre,2019
AME VILA MARIA - PSIQUIATRIA,2.63,33.12,21.21,22.8,4.31,Ambulatorial,1º Trimestre,2019
AME VOTUPORANGA,-0.06,12.79,6.57,8.3,0.94,Ambulatorial,1º Trimestre,2019
AME ZONA LESTE,22.84,31.95,13.63,19.36,2.71,Ambulatorial,1º Trimestre,2019
CRI ZONA NORTE,0.85,21.18,16.2,16.17,2.64,Ambulatorial,1º Trimestre,2019
