Unidade,Perda Primária (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),Índice de Retorno (%),tipo_unidade,periodo,ano
Unidade,Perda Primária (%),Primeira Consulta,Interconsulta,Subsequente,Índice de Retorno (%),,,
AME ANDRADINA,0.96,14.26,13.82,11.35,1.13,Ambulatorial,4º Trimestre,2018
AME ARAÇATUBA,1.7,18.09,10.22,10.45,1.2,Ambulatorial,4º Trimestre,2018
AME ASSIS,1.14,15.66,6.74,10.81,1.39,Ambulatorial,4º Trimestre,2018
AME ATIBAIA,-2.31,16.51,16.47,16.02,1.21,Ambulatorial,4º Trimestre,2018
AME BARRETOS - CIRURGICO,7.29,14.98,6.48,14.53,0.54,Ambulatorial,4º Trimestre,2018
AME BARRETOS - GERAL,4.5,13.21,13.08,12.97,2.1,Ambulatorial,4º Trimestre,2018
AME BAURU,0.69,14.79,8.67,11.69,0.93,Ambulatorial,4º Trimestre,2018
AME BOTUCATU,0.4,19.68,7.66,12.5,0.53,Ambulatorial,4º Trimestre,2018
AME BOURROUL,4.09,30.67,9.57,15.59,2.14,Ambulatorial,4º Trimestre,2018
AME CARAGUATATUBA,0.95,24.07,12.07,15.75,1.3,Ambulatorial,4º Trimestre,2018
AME CARAPICUIBA,4.95,26.94,18.74,20.91,1.04,Ambulatorial,4º Trimestre,2018
AME CASA BRANCA,0.05,11.94,11.88,9.33,2.19,Ambulatorial,4º Trimestre,2018
AME CATANDUVA,-0.64,16.3,14.99,15.32,1.09,Ambulatorial,4º Trimestre,2018
AME DRACENA,3.79,14.42,11.51,13.46,0.88,Ambulatorial,4º Trimestre,2018
AME FERNANDÓPOLIS,1.06,11.39,6.83,9.97,1.09,Ambulatorial,4º Trimestre,2018
AME FRANCA,-2.11,13.85,7.1,8.57,1.13,Ambulatorial,4º Trimestre,2018
AME BARRADAS,5.87,22.98,8.24,12.21,1.56,Ambulatorial,4º Trimestre,2018
AME IDOSO OESTE,-8.08,25.14,15.4,22.87,1.29,Ambulatorial,4º Trimestre,2018
AME IDOSO SUDESTE,6.57,26.36,16.55,14.18,1.54,Ambulatorial,4º Trimestre,2018
AME INTERLAGOS,1.89,25.86,18.28,24.56,1.73,Ambulatorial,4º Trimestre,2018
AME ITAPETININGA,-3.26,13.96,11.09,11.62,0.75,Ambulatorial,4º Trimestre,2018
AME ITAPEVA,1.04,13.55,10.01,12.55,1.21,Ambulatorial,4º Trimestre,2018
AME ITAPEVI,5.79,24.56,13.01,13.83,1.49,Ambulatorial,4º Trimestre,2018
AME ITU,6.95,21.49,7.64,8.59,1.34,Ambulatorial,4º Trimestre,2018
AME ITUVERAVA,-0.45,10.29,8.35,9.26,1.21,Ambulatorial,4º Trimestre,2018
AME JALES,-2.63,10.96,9.16,11.62,0.94,Ambulatorial,4º Trimestre,2018
AME JD DOS PRADOS,0.2,29.99,20.02,13.03,1.72,Ambulatorial,4º Trimestre,2018
AME JUNDIAÍ,-2.76,18.62,7.48,12.62,1.2,Ambulatorial,4º Trimestre,2018
AME LORENA,2.82,21.93,10.04,14.36,1.28,Ambulatorial,4º Trimestre,2018
AME MARIA ZELIA,2.53,35.07,5.73,16.1,4.63,Ambulatorial,4º Trimestre,2018
AME MAUÁ,-1.62,35.9,10.37,9.61,2.13,Ambulatorial,4º Trimestre,2018
AME MOGI DAS CRUZES,0.63,22.36,11.2,14.54,0.69,Ambulatorial,4º Trimestre,2018
AME OURINHOS,2.15,18.86,13.45,15.68,0.81,Ambulatorial,4º Trimestre,2018
AME PARIQUERA-ACU,-18.41,19.6,12.79,12.37,1.37,Ambulatorial,4º Trimestre,2018
AME PRAIA GRANDE,3.98,19.5,9.05,18.9,0.68,Ambulatorial,4º Trimestre,2018
AME PRESIDENTE PRUDENTE,-0.01,16.38,11.48,15.09,0.83,Ambulatorial,4º Trimestre,2018
AME PROMISSÃO,0.1,18.36,15.07,16.26,1.03,Ambulatorial,4º Trimestre,2018
AME SANTO ANDRÉ,2.48,31.2,7.89,14.02,1.1,Ambulatorial,4º Trimestre,2018
AME SANTOS,9.07,26.49,17.35,17.46,1.14,Ambulatorial,4º Trimestre,2018
AME SAO CARLOS,4.69,20.45,17.86,21.15,0.53,Ambulatorial,4º Trimestre,2018
AME SAO VICENTE,2.54,27.52,11.36,14.06,0.37,Ambulatorial,4º Trimestre,2018
AME SJ DOS CAMPOS,2.64,22.7,15.41,18.88,0.66,Ambulatorial,4º Trimestre,2018
AME SJ RIO PRETO,-1.59,14.98,8.08,12.95,1.13,Ambulatorial,4º Trimestre,2018
AME SOROCABA,1.24,18.7,9.23,15.01,1.43,Ambulatorial,4º Trimestre,2018
AME STA FÉ DO SUL,-3.89,7.98,6.4,9.9,0.88,Ambulatorial,4º Trimestre,2018
AME TABOÃO DA SERRA,0.88,23.64,15.79,14.35,1.22,Ambulatorial,4º Trimestre,2018
AME TAQUARITINGA,-0.86,16.49,10.1,10.94,0.71,Ambulatorial,4º Trimestre,2018
AME TUPÃ,1.37,14.54,7.86,9.63,0.88,Ambulatorial,4º Trimestre,2018
AME VILA MARIA - PSIQUIATRIA,1.14,32.59,14.85,20.1,4.13,Ambulatorial,4º Trimestre,2018
AME VOTUPORANGA,-0.01,13.7,8.59,8.43,1.06,Ambulatorial,4º Trimestre,2018
AME ZONA LESTE,23.2,37.91,18.71,20.07,3.0,Ambulatorial,4º Trimestre,2018
CRI ZONA NORTE,1.33,19.83,18.48,15.92,2.52,Ambulatorial,4º Trimestre,2018
