Unidade,Leitos Operacionais,Taxa de Ocupação (%),Média Permanência (dias),Índice de Intervalo de Substituição (%),Índice de Giro (%),tipo_unidade,periodo,ano
HOSP EST AMERICO BRASILIENSE,84,71.03,4.85,1.98,4.44,Hospitalar,2º Trimestre,2018
HOSP EST DE BAURU,325,85.66,6.59,1.1,3.94,Hospitalar,2º Trimestre,2018
CAISM - FRANCO DA ROCHA,46,90.66,16.09,1.66,1.71,Hospitalar,2º Trimestre,2018
HOSP CARAPICUIBA,254,86.86,4.62,0.7,5.71,Hospitalar,2º Trimestre,2018
CONJ HOSP SOROCABA,0,0.0,0.0,0.0,0.0,Hospitalar,2º Trimestre,2018
HOSP COTIA,180,93.98,4.47,0.29,6.38,Hospitalar,2º Trimestre,2018
HOSP ESTADUAL DE DIADEMA,241,83.72,6.21,1.21,4.09,Hospitalar,2º Trimestre,2018
EMILIO RIBAS BAIXADA SANTISTA,30,76.82,10.75,3.24,2.17,Hospitalar,2º Trimestre,2018
HOSP FRANCISCO MORATO,109,82.83,5.34,1.11,4.71,Hospitalar,2º Trimestre,2018
HOSP FRANCO DA ROCHA,134,79.41,7.3,1.89,3.3,Hospitalar,2º Trimestre,2018
HOSP GRAJAU,348,93.95,5.58,0.36,5.11,Hospitalar,2º Trimestre,2018
HOSP GERAL DE GUARULHOS,317,96.14,6.12,0.25,4.76,Hospitalar,2º Trimestre,2018
HOSP BRIGADEIRO,107,89.8,5.36,0.61,5.08,Hospitalar,2º Trimestre,2018
HOSP ITAIM PAULISTA,291,97.27,6.27,0.18,4.71,Hospitalar,2º Trimestre,2018
HOSP REG DE ITANHAEM,99,97.98,4.31,0.09,6.89,Hospitalar,2º Trimestre,2018
HOSP ITAPECERICA DA SERRA,229,94.03,5.08,0.32,5.62,Hospitalar,2º Trimestre,2018
HOSP ITAPEVI,243,84.46,4.36,0.8,5.87,Hospitalar,2º Trimestre,2018
HOSP SM DE ITAQUAQUECETUBA,291,87.37,6.74,0.97,3.93,Hospitalar,2º Trimestre,2018
HOSPITAL REGIONAL DE JUNDIAI,116,52.06,2.53,2.33,6.25,Hospitalar,2º Trimestre,2018
INST REAB LUCY MONTORO,49,86.63,34.19,5.27,0.77,Hospitalar,2º Trimestre,2018
HOSP LUZIA PINHO DE MELO,320,99.17,7.26,0.06,4.15,Hospitalar,2º Trimestre,2018
HOSP MANOEL DE ABREU - BAURU,0,0.0,0.0,0.0,0.0,Hospitalar,2º Trimestre,2018
HM SANTA ISABEL,72,94.02,3.35,0.21,8.5,Hospitalar,2º Trimestre,2018
CRSM MATER - RIBEIRAO PRETO,42,89.33,2.92,0.35,9.28,Hospitalar,2º Trimestre,2018
PAI BAIXADA SANTISTA,30,93.22,27.97,2.03,1.01,Hospitalar,2º Trimestre,2018
PAI ZONA NORTE,44,98.85,9.14,0.11,3.28,Hospitalar,2º Trimestre,2018
HOSP PEDREIRA,363,92.17,5.36,0.46,5.22,Hospitalar,2º Trimestre,2018
CENTRO HOSP SIST PENITENCIARIO,251,56.52,40.59,31.23,0.42,Hospitalar,2º Trimestre,2018
HOSP PIRAJUSSARA,269,98.15,6.11,0.12,4.87,Hospitalar,2º Trimestre,2018
HOSP REG DE PORTO PRIMAVERA,82,72.56,6.03,2.28,3.65,Hospitalar,2º Trimestre,2018
HOSP REG PRES PRUDENTE,509,84.17,6.72,1.26,3.8,Hospitalar,2º Trimestre,2018
HOSP REG REGISTRO,0,0.0,0.0,0.0,0.0,Hospitalar,2º Trimestre,2018
HOSP EST DE RIBEIRAO PRETO,42,74.54,4.55,1.55,4.97,Hospitalar,2º Trimestre,2018
HOSP MARIO COVAS,273,83.56,6.38,1.25,3.98,Hospitalar,2º Trimestre,2018
HOSP REG SAO JOSE DOS CAMPOS,19,31.84,5.2,11.13,1.86,Hospitalar,2º Trimestre,2018
HOSP SAPOPEMBA,209,91.81,4.6,0.41,6.06,Hospitalar,2º Trimestre,2018
HOSP EST DE SERRANA,0,0.0,0.0,0.0,0.0,Hospitalar,2º Trimestre,2018
HOSP REGIONAL DE SOROCABA,15,63.19,4.96,2.89,3.86,Hospitalar,2º Trimestre,2018
UNIDADE DE RECOMECO HELVETIA,21,92.52,22.96,1.86,1.22,Hospitalar,2º Trimestre,2018
HOSP VILA ALPINA,234,92.08,4.45,0.38,6.27,Hospitalar,2º Trimestre,2018
