Unidade,Leitos Operacionais,Taxa de Ocupação (%),Média Permanência (dias),Índice de Intervalo de Substituição (%),Índice de Giro (%),tipo_unidade,periodo,ano
HOSP EST AMERICO BRASILIENSE,82,77.86,5.34,1.52,4.47,Hospitalar,3º Trimestre,2018
HOSP EST DE BAURU,323,87.1,6.85,1.01,3.9,Hospitalar,3º Trimestre,2018
CAISM - FRANCO DA ROCHA,45,82.91,15.46,3.19,1.64,Hospitalar,3º Trimestre,2018
HOSP CARAPICUIBA,254,84.85,4.44,0.79,5.86,Hospitalar,3º Trimestre,2018
CONJ HOSP SOROCABA,0,0.0,0.0,0.0,0.0,Hospitalar,3º Trimestre,2018
HOSP COTIA,177,91.87,4.51,0.4,6.25,Hospitalar,3º Trimestre,2018
HOSP ESTADUAL DE DIADEMA,239,77.78,6.06,1.73,3.94,Hospitalar,3º Trimestre,2018
EMILIO RIBAS BAIXADA SANTISTA,30,79.44,11.53,2.98,2.11,Hospitalar,3º Trimestre,2018
HOSP FRANCISCO MORATO,109,78.56,5.42,1.48,4.44,Hospitalar,3º Trimestre,2018
HOSP FRANCO DA ROCHA,134,85.53,8.01,1.35,3.28,Hospitalar,3º Trimestre,2018
HOSP GRAJAU,329,91.49,5.68,0.53,4.94,Hospitalar,3º Trimestre,2018
HOSP GERAL DE GUARULHOS,330,94.26,6.36,0.39,4.55,Hospitalar,3º Trimestre,2018
HOSP BRIGADEIRO,105,90.85,5.27,0.53,5.29,Hospitalar,3º Trimestre,2018
HOSP ITAIM PAULISTA,290,96.02,6.67,0.28,4.42,Hospitalar,3º Trimestre,2018
HOSP REG DE ITANHAEM,153,72.6,4.39,1.66,5.07,Hospitalar,3º Trimestre,2018
HOSP ITAPECERICA DA SERRA,223,91.54,4.95,0.46,5.67,Hospitalar,3º Trimestre,2018
HOSP ITAPEVI,238,84.24,4.55,0.85,5.67,Hospitalar,3º Trimestre,2018
HOSP SM DE ITAQUAQUECETUBA,296,86.89,7.06,1.07,3.77,Hospitalar,3º Trimestre,2018
HOSPITAL REGIONAL DE JUNDIAI,122,55.48,2.7,2.17,6.3,Hospitalar,3º Trimestre,2018
INST REAB LUCY MONTORO,49,88.03,38.26,5.2,0.71,Hospitalar,3º Trimestre,2018
HOSP LUZIA PINHO DE MELO,319,98.89,7.44,0.08,4.08,Hospitalar,3º Trimestre,2018
HOSP MANOEL DE ABREU - BAURU,0,0.0,0.0,0.0,0.0,Hospitalar,3º Trimestre,2018
HM SANTA ISABEL,65,91.32,3.43,0.33,8.15,Hospitalar,3º Trimestre,2018
CRSM MATER - RIBEIRAO PRETO,42,82.99,2.92,0.6,8.7,Hospitalar,3º Trimestre,2018
PAI BAIXADA SANTISTA,30,94.74,30.36,1.69,0.96,Hospitalar,3º Trimestre,2018
PAI ZONA NORTE,45,98.72,8.73,0.11,3.47,Hospitalar,3º Trimestre,2018
HOSP PEDREIRA,354,93.14,5.7,0.42,5.01,Hospitalar,3º Trimestre,2018
CENTRO HOSP SIST PENITENCIARIO,251,57.06,43.49,32.73,0.4,Hospitalar,3º Trimestre,2018
HOSP PIRAJUSSARA,271,97.75,6.27,0.14,4.78,Hospitalar,3º Trimestre,2018
HOSP REG DE PORTO PRIMAVERA,82,69.84,6.2,2.68,3.46,Hospitalar,3º Trimestre,2018
HOSP REG PRES PRUDENTE,526,84.91,6.97,1.24,3.74,Hospitalar,3º Trimestre,2018
HOSP REG REGISTRO,0,0.0,0.0,0.0,0.0,Hospitalar,3º Trimestre,2018
HOSP EST DE RIBEIRAO PRETO,40,72.94,4.43,1.64,5.05,Hospitalar,3º Trimestre,2018
HOSP MARIO COVAS,282,83.12,7.02,1.43,3.63,Hospitalar,3º Trimestre,2018
HOSP REG SAO JOSE DOS CAMPOS,122,66.6,7.04,3.53,2.9,Hospitalar,3º Trimestre,2018
HOSP SAPOPEMBA,206,85.08,4.48,0.79,5.83,Hospitalar,3º Trimestre,2018
HOSP EST DE SERRANA,0,0.0,0.0,0.0,0.0,Hospitalar,3º Trimestre,2018
HOSP REGIONAL DE SOROCABA,110,54.07,4.63,3.93,3.58,Hospitalar,3º Trimestre,2018
UNIDADE DE RECOMECO HELVETIA,21,88.72,20.65,2.63,1.32,Hospitalar,3º Trimestre,2018
HOSP VILA ALPINA,235,86.03,4.3,0.7,6.14,Hospitalar,3º Trimestre,2018
