Unidade,Perda Primária (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),Taxa de Absenteísmo (%),Índice de Retorno (%),tipo_unidade,periodo,ano
Unidade,Perda Primária (%),Primeira Consulta,Interconsulta,Subsequente,Índice de Retorno (%),,,
AME ANDRADINA,1.1,13.01,11.85,10.56,1.13,Ambulatorial,1º Trimestre,2018
AME ARAÇATUBA,-0.99,16.0,11.21,9.92,1.35,Ambulatorial,1º Trimestre,2018
AME ASSIS,1.81,16.12,7.22,11.47,1.49,Ambulatorial,1º Trimestre,2018
AME ATIBAIA,-0.61,18.25,14.87,17.16,1.03,Ambulatorial,1º Trimestre,2018
AME BARRETOS - CIRURGICO,1.19,18.88,8.42,13.82,0.61,Ambulatorial,1º Trimestre,2018
AME BARRETOS - GERAL,0.25,13.43,9.9,10.73,1.83,Ambulatorial,1º Trimestre,2018
AME BAURU,0.56,14.84,11.08,12.99,0.84,Ambulatorial,1º Trimestre,2018
AME BOTUCATU,0.0,0.0,0.0,0.0,0.0,Ambulatorial,1º Trimestre,2018
AME BOURROUL,4.59,30.02,11.69,16.92,1.87,Ambulatorial,1º Trimestre,2018
AME CARAGUATATUBA,9.28,26.03,13.8,18.4,1.6,Ambulatorial,1º Trimestre,2018
AME CARAPICUIBA,2.82,22.21,17.37,17.39,0.96,Ambulatorial,1º Trimestre,2018
AME CASA BRANCA,0.02,13.06,5.06,9.78,1.94,Ambulatorial,1º Trimestre,2018
AME CATANDUVA,-0.64,16.62,13.33,15.09,0.99,Ambulatorial,1º Trimestre,2018
AME DRACENA,-0.49,13.41,9.35,12.55,0.88,Ambulatorial,1º Trimestre,2018
AME FERNANDÓPOLIS,0.3,11.72,10.04,10.62,0.89,Ambulatorial,1º Trimestre,2018
AME FRANCA,4.57,13.18,6.46,8.62,0.94,Ambulatorial,1º Trimestre,2018
AME BARRADAS,3.01,23.56,8.32,11.66,1.9,Ambulatorial,1º Trimestre,2018
AME IDOSO OESTE,10.25,22.72,19.04,21.67,0.98,Ambulatorial,1º Trimestre,2018
AME IDOSO SUDESTE,-1.76,23.66,8.34,11.61,1.51,Ambulatorial,1º Trimestre,2018
AME INTERLAGOS,1.66,24.21,13.59,20.9,1.18,Ambulatorial,1º Trimestre,2018
AME ITAPETININGA,-0.85,13.89,10.1,11.32,0.8,Ambulatorial,1º Trimestre,2018
AME ITAPEVA,0.89,13.08,12.09,15.33,1.34,Ambulatorial,1º Trimestre,2018
AME ITAPEVI,6.29,28.4,16.76,16.71,1.04,Ambulatorial,1º Trimestre,2018
AME ITU,2.99,18.3,8.89,10.56,1.76,Ambulatorial,1º Trimestre,2018
AME ITUVERAVA,-1.8,9.98,8.75,9.36,1.05,Ambulatorial,1º Trimestre,2018
AME JALES,-3.15,10.76,8.47,13.48,1.09,Ambulatorial,1º Trimestre,2018
AME JD DOS PRADOS,3.34,29.28,20.65,13.68,1.45,Ambulatorial,1º Trimestre,2018
AME JUNDIAÍ,0.49,17.91,9.34,11.83,1.03,Ambulatorial,1º Trimestre,2018
AME LORENA,4.43,24.38,11.2,15.98,1.6,Ambulatorial,1º Trimestre,2018
AME MARIA ZELIA,1.53,34.95,14.29,17.73,5.17,Ambulatorial,1º Trimestre,2018
AME MAUÁ,3.11,35.4,13.63,12.78,1.54,Ambulatorial,1º Trimestre,2018
AME MOGI DAS CRUZES,3.84,22.12,14.54,11.4,0.63,Ambulatorial,1º Trimestre,2018
AME OURINHOS,2.42,17.16,13.77,17.66,1.05,Ambulatorial,1º Trimestre,2018
AME PARIQUERA-ACU,4.0,17.97,13.59,11.18,1.31,Ambulatorial,1º Trimestre,2018
AME PRAIA GRANDE,1.2,20.78,9.63,14.13,0.67,Ambulatorial,1º Trimestre,2018
AME PRESIDENTE PRUDENTE,2.33,16.4,12.88,13.42,0.98,Ambulatorial,1º Trimestre,2018
AME PROMISSÃO,0.71,15.92,13.79,15.79,0.9,Ambulatorial,1º Trimestre,2018
AME SANTO ANDRÉ,2.38,34.88,11.01,16.59,1.04,Ambulatorial,1º Trimestre,2018
AME SANTOS,2.25,27.21,14.92,15.4,1.02,Ambulatorial,1º Trimestre,2018
AME SAO CARLOS,4.04,17.89,0.0,0.0,0.0,Ambulatorial,1º Trimestre,2018
AME SAO VICENTE,0.0,0.0,0.0,0.0,0.0,Ambulatorial,1º Trimestre,2018
AME SJ DOS CAMPOS,6.41,23.8,16.09,18.62,0.77,Ambulatorial,1º Trimestre,2018
AME SJ RIO PRETO,-1.56,15.77,7.98,12.55,1.04,Ambulatorial,1º Trimestre,2018
AME SOROCABA,1.05,18.01,10.27,16.64,1.55,Ambulatorial,1º Trimestre,2018
AME STA FÉ DO SUL,-2.25,8.84,10.54,13.98,0.94,Ambulatorial,1º Trimestre,2018
AME TABOÃO DA SERRA,1.67,25.86,15.03,16.4,1.23,Ambulatorial,1º Trimestre,2018
AME TAQUARITINGA,11.73,16.88,15.2,11.5,0.19,Ambulatorial,1º Trimestre,2018
AME TUPÃ,0.23,15.1,6.84,8.0,0.78,Ambulatorial,1º Trimestre,2018
AME VILA MARIA - PSIQUIATRIA,1.33,32.32,17.51,20.82,4.11,Ambulatorial,1º Trimestre,2018
AME VOTUPORANGA,-0.16,12.62,7.48,10.43,1.09,Ambulatorial,1º Trimestre,2018
AME ZONA LESTE,23.22,29.44,24.12,17.76,3.06,Ambulatorial,1º Trimestre,2018
CRI ZONA NORTE,1.99,21.38,17.79,16.73,2.68,Ambulatorial,1º Trimestre,2018
