OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Santo André,1611.0,0,0,0,0,0,0,0,0,0,0,0,134,1611.0,2014
Guarulhos,1477.0,0,0,0,0,0,0,0,0,0,0,0,123,1477.0,2014
Bauru,1366.0,0,0,0,0,0,0,0,0,0,0,0,114,1366.0,2014
Brigadeiro,1361.0,0,0,0,0,0,0,0,0,0,0,0,113,1361.0,2014
Grajau,1360.0,0,0,0,0,0,0,0,0,0,0,0,113,1360.0,2014
Presidente Prudente,1355.0,0,0,0,0,0,0,0,0,0,0,0,113,1355.0,2014
Luzia de Pinho Melo,1315.0,0,0,0,0,0,0,0,0,0,0,0,110,1315.0,2014
Pedreira,1271.0,0,0,0,0,0,0,0,0,0,0,0,106,1271.0,2014
Hospital Estadual de Sapopemba,1069.0,0,0,0,0,0,0,0,0,0,0,0,89,1069.0,2014
Vila Alpina,1061.0,0,0,0,0,0,0,0,0,0,0,0,88,1061.0,2014
Pirajussara,1046.0,0,0,0,0,0,0,0,0,0,0,0,87,1046.0,2014
Carapicuiba,1040.0,0,0,0,0,0,0,0,0,0,0,0,87,1040.0,2014
Sumaré,1036.0,0,0,0,0,0,0,0,0,0,0,0,86,1036.0,2014
Itaim Paulista,1034.0,0,0,0,0,0,0,0,0,0,0,0,86,1034.0,2014
Itapecerica da Serra,1014.0,0,0,0,0,0,0,0,0,0,0,0,85,1014.0,2014
Diadema,977.0,0,0,0,0,0,0,0,0,0,0,0,81,977.0,2014
Itapevi,973.0,0,0,0,0,0,0,0,0,0,0,0,81,973.0,2014
Itaquaquecetuba,960.0,0,0,0,0,0,0,0,0,0,0,0,80,960.0,2014
SEDI III,917.0,0,0,0,0,0,0,0,0,0,0,0,76,917.0,2014
Vale do Ribeira,760.0,0,0,0,0,0,0,0,0,0,0,0,63,760.0,2014
Base de Bauru,735.0,0,0,0,0,0,0,0,0,0,0,0,61,735.0,2014
Cotia,711.0,0,0,0,0,0,0,0,0,0,0,0,59,711.0,2014
SEDI II,659.0,0,0,0,0,0,0,0,0,0,0,0,55,659.0,2014
Franco da Rocha,597.0,0,0,0,0,0,0,0,0,0,0,0,50,597.0,2014
Francisco Morato,576.0,0,0,0,0,0,0,0,0,0,0,0,48,576.0,2014
CROSS,554.0,0,0,0,0,0,0,0,0,0,0,0,46,554.0,2014
Americo Brasiliense,518.0,0,0,0,0,0,0,0,0,0,0,0,43,518.0,2014
Vale do Paraiba,494.0,0,0,0,0,0,0,0,0,0,0,0,41,494.0,2014
AME Heliopolis,482.0,0,0,0,0,0,0,0,0,0,0,0,40,482.0,2014
SEDI I,480.0,0,0,0,0,0,0,0,0,0,0,0,40,480.0,2014
CEAC Zona Norte,449.0,0,0,0,0,0,0,0,0,0,0,0,37,449.0,2014
Universitário de Taubaté,431.0,0,0,0,0,0,0,0,0,0,0,0,36,431.0,2014
Penitenciario,409.0,0,0,0,0,0,0,0,0,0,0,0,34,409.0,2014
Instituto Lucy Montouro,370.0,0,0,0,0,0,0,0,0,0,0,0,31,370.0,2014
AME Maria Zelia,346.0,0,0,0,0,0,0,0,0,0,0,0,29,346.0,2014
