OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Hospital Santo André,156,156,161,161,161,161,161,161,162,161,162,154,160,1917.0,2017
Hospital Guarulhos,147,147,147,147,149,147,147,147,152,147,147,147,148,1771.0,2017
Hospital Luzia de Pinho Melo,139,139,139,139,144,144,144,144,145,144,147,144,143,1712.0,2017
Hospital Bauru,139,139,139,139,139,139,139,139,139,139,143,139,139,1672.0,2017
Hospital Presidente Prudente,134,134,134,134,134,134,134,137,134,134,144,134,135,1621.0,2017
Hospital Brigadeiro,127,127,127,127,127,127,127,127,128,131,127,125,127,1527.0,2017
Hospital Grajau,117,117,117,117,199,105,105,105,105,109,105,104,117,1405.0,2017
Hospital Pedreira,116,116,116,116,116,116,121,116,117,116,117,116,117,1399.0,2017
Hospital Local Sapopemba,109,109,109,109,109,109,109,109,113,109,109,109,109,1312.0,2017
Hospital Itaim Paulista,105,105,105,105,105,105,105,105,110,105,105,105,105,1265.0,2017
Hospital Itaquaquecetuba,102,102,102,102,102,102,102,102,110,102,130,102,105,1260.0,2017
Hospital Pirajussara,105,105,105,105,105,105,105,105,106,103,104,103,105,1256.0,2017
Hospital Vila Alpina,104,104,104,104,104,104,104,104,104,109,104,104,104,1253.0,2017
Hospital Carapicuiba,102,102,102,102,102,102,105,102,102,102,102,102,102,1227.0,2017
Hospital Itapecerica da Serra,100,100,100,100,100,100,100,109,101,101,102,100,101,1213.0,2017
Hospital Sumaré,98,98,98,98,98,98,98,98,99,104,114,99,100,1200.0,2017
Hospital Diadema,97,97,97,97,97,97,97,102,97,97,97,97,97,1169.0,2017
Hospital Itapevi,96,96,96,96,96,96,96,99,96,96,96,96,96,1155.0,2017
Hospital Base de Bauru,85,85,85,85,85,85,85,85,85,85,85,85,85,1020.0,2017
Hospital Vale do Ribeira,72,72,72,72,72,72,72,94,72,72,72,72,74,886.0,2017
Hospital Cotia,73,73,73,73,73,73,73,73,75,75,73,73,73,880.0,2017
SEDI II,71,71,71,71,71,71,71,71,71,71,71,71,71,852.0,2017
Hospital Franco da Rocha,66,66,66,66,66,66,66,66,66,66,67,66,66,793.0,2017
CROSS,62,62,62,62,62,62,62,62,62,62,82,62,64,764.0,2017
SEDI I,63,63,63,63,63,63,63,63,63,63,63,63,63,756.0,2017
Hospital Francisco Morato,56,56,56,56,56,56,56,60,56,56,56,53,56,673.0,2017
SEDI III,56,56,56,56,56,56,56,56,56,56,56,56,56,672.0,2017
