OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Hospital Santo André,175,175,175,175,175,174,174,174,174,174,174,174,174,2093.0,2019
Hospital Guarulhos,157,157,157,157,157,157,161,161,161,161,161,161,159,1908.0,2019
Hospital Luzia de Pinho Melo,154,154,154,154,154,154,154,154,154,154,154,154,154,1848.0,2019
Hospital Bauru,149,149,149,149,149,149,149,149,149,149,149,149,149,1788.0,2019
Hospital Presidente Prudente,173,145,145,145,145,145,145,145,145,145,145,145,147,1768.0,2019
Hospital Brigadeiro,155,140,140,140,140,140,140,140,140,140,140,140,141,1695.0,2019
Hospital Grajau,127,127,127,127,127,127,127,127,127,127,127,127,127,1524.0,2019
Hospital Pedreira,125,125,125,125,125,125,125,125,125,125,125,125,125,1500.0,2019
Hospital Pirajussara,121,121,121,121,121,121,121,121,121,121,121,121,121,1452.0,2019
Hospital Vila Alpina,130,115,115,115,113,115,115,115,115,115,115,115,116,1393.0,2019
Hospital Itaim Paulista,122,110,110,110,110,110,112,112,131,112,112,112,114,1363.0,2019
Hospital Itaquaquecetuba,129,105,105,105,111,105,109,109,109,109,109,109,110,1314.0,2019
Hospital Local Sapopemba,108,108,108,108,105,105,108,108,108,108,108,108,108,1290.0,2019
Hospital Itapecerica da Serra,107,107,107,107,107,107,107,107,107,107,107,107,107,1284.0,2019
Hospital Sumaré,106,106,106,106,106,106,106,106,109,106,106,106,106,1275.0,2019
Hospital Carapicuiba,104,104,104,104,101,104,104,104,104,104,104,104,104,1245.0,2019
Hospital Diadema,103,103,103,103,103,103,103,103,103,103,103,103,103,1236.0,2019
Hospital Itapevi,100,102,102,102,102,102,103,102,102,102,102,102,102,1223.0,2019
HOSP. SOROCABA,113,100,100,100,100,100,100,100,100,89,100,100,100,1202.0,2019
Conjunto Hospitalar de Sorocaba,95,95,95,95,95,95,104,104,104,102,104,104,99,1192.0,2019
Hospital Base de Bauru,91,91,91,91,116,92,91,91,99,94,94,94,95,1135.0,2019
HOSP. SÃO JOSÉ DOS CAMPOS,82,82,82,82,82,82,82,88,88,88,88,88,85,1014.0,2019
Hospital Cotia,82,82,82,82,82,82,82,82,82,82,82,82,82,984.0,2019
Hospital Itanhaem,24,87,87,87,87,87,87,87,87,87,87,87,82,981.0,2019
Hospital Vale do Ribeira,78,78,78,78,78,78,78,78,80,78,78,78,78,938.0,2019
SEDI II,75,75,75,75,75,75,75,75,75,75,75,75,75,900.0,2019
Hospital Franco da Rocha,37,71,71,71,71,71,71,71,71,71,71,71,68,818.0,2019
CROSS,67,67,67,67,67,67,67,67,55,55,55,67,64,768.0,2019
Hospital Francisco Morato,60,60,60,60,60,60,60,60,60,60,59,65,60,724.0,2019
HOSPITAL DE REGIONAL DE REGISTRO,35,43,49,62,62,67,66,67,67,56,67,67,59,708.0,2019
SEDI III,56,56,56,57,57,56,57,56,56,56,60,63,57,686.0,2019
Hospital Americo Brasiliense,80,55,55,55,55,55,55,55,55,55,55,55,57,685.0,2019
Hospital Vale do Paraiba,57,57,57,58,57,57,53,53,53,53,53,53,55,661.0,2019
Hospital Jundiaí,50,50,50,50,50,50,50,50,50,50,50,50,50,600.0,2019
CEAC Zona Norte,39,46,45,50,50,51,48,50,51,49,51,46,48,576.0,2019
AME Heliopolis,41,41,41,45,45,45,45,45,45,45,45,45,44,528.0,2019
Hospital Penitenciario,43,43,43,43,43,43,43,43,44,43,43,43,43,517.0,2019
CEAC Zona Sul,37,39,38,39,39,39,39,39,39,39,39,39,39,465.0,2019
HOSP. PIRACICABA,20,40,40,40,40,40,40,40,40,40,40,40,38,460.0,2019
Instituto Lucy Montouro,11,36,36,36,36,36,36,36,36,36,36,37,34,408.0,2019
AME Maria Zelia,30,30,30,35,37,37,36,37,34,34,34,34,34,408.0,2019
SEDI I,45,45,45,45,46,51,51,0,0,0,0,49,31,377.0,2019
CEAC Zona Leste,30,31,31,31,31,31,31,31,31,31,31,31,31,371.0,2019
Hospital Ribeirão Preto,35,29,29,29,29,29,29,29,29,29,29,29,30,354.0,2019
Maternidade Santa Isabel,34,29,29,29,29,29,29,29,29,29,29,29,29,353.0,2019
CRSM de Ribeirão Preto,42,26,26,26,26,26,26,26,26,26,26,26,27,328.0,2019
Hospital João Paulo II,26,26,26,26,26,26,26,26,26,26,26,26,26,312.0,2019
AME Zona Leste,25,25,25,25,25,25,24,25,25,25,25,25,25,299.0,2019
Hospital de Serrana,6,11,50,0,16,16,18,23,30,30,42,42,24,284.0,2019
AME São Jose do Rio Preto,22,22,22,24,24,24,24,24,24,24,24,24,24,282.0,2019
CEADIS,24,24,24,24,22,22,22,22,22,22,22,22,23,272.0,2019
AME Sorocaba,79,15,15,14,15,15,15,15,15,15,15,15,20,243.0,2019
Hospital Universitário de Taubaté,50,50,50,74,0,0,0,0,0,0,0,0,19,224.0,2019
AME Presidente Prudente,16,16,16,19,19,19,19,19,19,19,19,19,18,219.0,2019
Instituto Emilio Ribas II,16,19,19,19,19,18,18,18,18,18,18,18,18,218.0,2019
Hospital Porto Primavera,18,18,18,18,18,18,18,18,18,18,18,18,18,216.0,2019
AME Bourroul,12,12,12,19,19,19,19,19,19,19,18,18,17,205.0,2019
AME Caraguatatuba,14,14,14,18,18,18,18,17,17,17,17,17,17,199.0,2019
AME Votuporanga,10,10,10,19,19,19,19,18,18,18,18,18,16,196.0,2019
AME São Jose dos Campos,14,14,14,18,17,17,17,17,17,17,17,17,16,196.0,2019
AME Praia Grande,16,16,16,16,16,16,16,16,16,16,16,16,16,192.0,2019
AME Santos,16,15,16,15,14,16,15,16,17,16,16,16,16,188.0,2019
AME Araçatuba,14,14,14,16,16,16,16,16,16,16,16,16,16,186.0,2019
AME SÃO VICENTE,15,15,15,15,15,15,15,15,15,15,15,15,15,180.0,2019
AME Atibaia,12,12,12,16,16,16,16,15,15,15,15,15,15,175.0,2019
AME Santo André,12,12,12,15,15,15,15,15,15,15,15,18,15,174.0,2019
CRI Zona Norte,13,13,13,15,15,15,15,15,15,15,15,15,15,174.0,2019
AME Dracena,12,12,12,14,14,14,14,23,14,14,14,14,14,171.0,2019
AME Jardim dos Prados,9,9,9,16,16,16,16,16,16,16,16,16,14,171.0,2019
AME Franca,8,8,8,16,16,16,16,16,16,16,16,16,14,168.0,2019
AME Itapevi,12,12,12,13,24,13,13,13,13,14,14,13,14,166.0,2019
AME Andradina,12,12,14,14,14,14,14,14,14,14,14,14,14,164.0,2019
AME Bauru,12,12,12,12,12,12,12,12,12,12,12,12,12,144.0,2019
AME Ourinhos,12,12,12,12,12,12,12,12,12,12,12,12,12,144.0,2019
CAISM Franco da Rocha,12,12,12,12,12,12,12,12,12,12,12,12,12,144.0,2019
Pai Zona Norte,12,12,12,12,12,12,12,12,12,12,12,12,12,144.0,2019
AME Interlagos,7,7,7,12,12,12,12,18,12,14,14,12,12,139.0,2019
AME Jundiai,10,10,10,12,12,12,12,12,12,12,12,12,12,138.0,2019
AME Carapicuiba,5,5,5,14,14,14,14,13,13,13,13,13,11,136.0,2019
AME Lorena,5,5,5,13,13,13,13,13,13,13,13,15,11,134.0,2019
AME Itapetininga,11,11,11,11,11,11,11,11,11,11,11,11,11,132.0,2019
AME Rio Claro,11,10,10,11,11,11,11,11,11,11,11,11,11,130.0,2019
AME Pariquera-Açú,5,5,5,13,13,13,13,13,13,10,13,13,11,129.0,2019
AME Limeira,10,10,10,11,11,11,11,11,11,11,11,11,11,129.0,2019
AME Tupã,6,6,6,11,12,12,12,12,12,12,12,12,10,125.0,2019
AME Promissão,9,9,9,10,10,10,10,10,10,10,10,10,10,117.0,2019
AME Itapeva,9,9,9,10,10,10,10,10,10,10,10,9,10,116.0,2019
AME Santa Bárbara d`Oeste,7,7,7,10,10,10,10,10,10,10,10,10,9,111.0,2019
AME Mauá,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2019
AME Mogi das Cruzes,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2019
AME Idoso Oeste,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2019
AME São João da Boa Vista,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2019
AME Taboão da Serra,9,9,9,9,9,9,9,9,9,9,9,9,9,108.0,2019
AME Vila Maria,3,3,3,11,11,11,11,11,11,11,11,11,9,108.0,2019
Helvetia,0,0,8,11,11,11,11,11,11,11,11,11,9,107.0,2019
Ame Botucatu,7,7,7,7,7,10,10,10,10,10,10,10,9,105.0,2019
AME TAQUARITINGA,7,7,7,7,7,9,9,10,10,10,10,10,9,103.0,2019
Rede L. Montoro S. J. Rio Preto,8,8,8,8,8,8,9,9,9,9,9,9,9,102.0,2019
AME Barretos Geral,4,4,4,10,10,10,10,10,10,10,10,10,9,102.0,2019
AME Itú,6,6,6,9,9,9,9,9,9,10,10,9,8,101.0,2019
AME Jales,4,4,9,9,9,9,9,9,9,9,9,9,8,98.0,2019
