OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Hospital Santo André,169,170,169,169,172,169,170,169,169,169,169,169,169,2033.0,2018
Hospital Guarulhos,152,153,152,151,152,152,150,150,152,152,152,152,152,1820.0,2018
Hospital Luzia de Pinho Melo,149,150,149,149,149,149,147,147,149,149,149,149,149,1785.0,2018
Hospital Bauru,144,144,144,144,144,144,144,144,144,144,144,144,144,1728.0,2018
Hospital Presidente Prudente,140,140,140,140,140,140,140,140,140,140,140,140,140,1680.0,2018
Hospital Brigadeiro,131,133,131,130,130,130,129,129,131,146,146,131,133,1597.0,2018
Hospital Grajau,123,123,123,123,123,123,123,123,123,123,123,123,123,1476.0,2018
Hospital Pedreira,121,122,121,121,121,121,119,119,121,121,121,121,121,1449.0,2018
Hospital Pirajussara,110,112,110,115,115,115,114,114,115,115,115,115,114,1365.0,2018
Hospital Local Sapopemba,112,113,112,112,112,112,112,112,112,112,112,108,112,1341.0,2018
Hospital Itaim Paulista,118,106,106,106,106,106,108,108,108,108,108,108,108,1296.0,2018
Hospital Vila Alpina,108,108,108,108,108,108,108,108,108,108,108,108,108,1296.0,2018
Hospital Carapicuiba,106,107,106,104,106,106,106,106,102,106,106,104,105,1265.0,2018
Hospital Itaquaquecetuba,120,102,102,102,102,102,105,105,105,105,105,105,105,1260.0,2018
Hospital Itapecerica da Serra,103,106,103,103,103,103,103,103,103,103,103,103,103,1239.0,2018
Hospital Sumaré,102,104,102,102,102,102,102,102,102,102,102,102,102,1226.0,2018
Hospital Diadema,100,101,100,100,100,100,99,99,100,100,100,100,100,1199.0,2018
Hospital Base de Bauru,88,88,88,88,88,88,88,88,88,88,88,132,92,1100.0,2018
Hospital Itapevi,98,98,98,98,98,98,98,98,98,98,98,0,90,1078.0,2018
Hospital Cotia,77,77,77,77,77,77,84,77,77,77,77,77,78,931.0,2018
Hospital Vale do Ribeira,75,75,75,74,75,75,75,75,75,75,75,75,75,899.0,2018
SEDI II,71,71,71,71,71,71,71,71,71,71,71,71,71,852.0,2018
CROSS,62,62,62,62,62,62,62,62,62,62,52,75,62,747.0,2018
Hospital Franco da Rocha,66,67,66,66,66,66,66,66,66,66,60,0,60,721.0,2018
Hospital Itanhaem,48,48,48,63,67,73,75,83,84,86,44,0,60,719.0,2018
Hospital Francisco Morato,58,58,58,58,58,58,58,58,58,58,58,58,58,696.0,2018
Hospital Vale do Paraiba,55,55,55,55,55,55,55,55,55,55,55,55,55,660.0,2018
