OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Pedreira,1445,111,111,111,111,111,111,111,111,111,111,114,222,2669.0,2016
Santo André,149,149,149,149,149,149,149,152,149,149,149,149,149,1791.0,2016
Guarulhos,139,139,139,139,139,139,139,139,139,139,139,139,139,1668.0,2016
Luzia de Pinho Melo,127,127,133,123,130,135,135,135,135,135,135,135,132,1585.0,2016
Bauru,129,129,129,130,133,133,133,133,133,133,133,133,132,1581.0,2016
Presidente Prudente,126,126,126,126,126,126,126,126,126,126,126,126,126,1512.0,2016
Brigadeiro,121,121,121,121,121,121,121,121,121,121,121,121,121,1452.0,2016
Grajau,111,111,111,111,111,111,111,111,111,111,116,111,111,1337.0,2016
Hospital Estadual de Sapopemba,101,104,104,104,104,104,104,104,104,104,104,104,104,1245.0,2016
Sumaré,101,101,101,101,101,101,101,101,101,101,101,101,101,1212.0,2016
Itaim Paulista,100,100,100,100,100,100,100,100,100,100,100,100,100,1200.0,2016
Pirajussara,97,100,100,94,100,100,100,100,103,100,100,100,100,1194.0,2016
Vila Alpina,97,99,99,99,99,99,99,99,99,99,99,99,99,1186.0,2016
Itaquaquecetuba,97,97,97,97,97,97,97,97,96,97,97,99,97,1165.0,2016
Carapicuiba,97,97,97,97,97,97,97,97,97,97,97,97,97,1164.0,2016
Itapecerica da Serra,95,95,95,95,95,95,95,95,95,95,95,95,95,1140.0,2016
Diadema,90,91,92,92,92,92,92,92,92,92,92,92,92,1101.0,2016
Itapevi,91,91,91,91,91,91,91,91,91,91,91,91,91,1092.0,2016
Base de Bauru,76,76,76,77,81,81,81,81,81,81,81,81,79,953.0,2016
Cotia,70,70,70,70,70,70,70,70,70,70,74,70,70,844.0,2016
Vale do Ribeira,69,69,69,69,69,69,69,69,69,69,69,69,69,828.0,2016
SEDI II,67,67,67,62,62,67,67,67,67,67,67,67,66,794.0,2016
Franco da Rocha,72,64,64,64,64,64,64,64,64,64,64,64,65,776.0,2016
SEDI I,60,61,63,63,63,63,63,63,63,63,63,63,63,751.0,2016
CROSS,59,59,59,59,59,59,59,59,59,59,59,59,59,708.0,2016
SEDI III,56,56,56,56,56,56,56,56,56,56,56,56,56,672.0,2016
Vale do Paraiba,53,53,53,53,53,53,53,53,53,53,53,59,54,642.0,2016
Francisco Morato,53,53,53,53,53,53,53,53,53,53,53,53,53,636.0,2016
Americo Brasiliense,49,49,49,49,49,49,49,49,49,49,49,49,49,588.0,2016
AME Heliopolis,44,44,44,44,44,44,44,44,44,44,44,45,44,529.0,2016
CEAC Zona Norte,35,39,38,43,43,42,43,43,44,43,43,43,42,499.0,2016
Universitário de Taubaté,41,41,41,41,41,41,41,41,41,41,41,41,41,492.0,2016
