OSS,JAN,FEV,MAR,ABR,MAI,JUN,JUL,AGO,SET,OUT,NOV,DEZ,Média,Total pago,ano
Hospital Santo André,179,179,177,177,179,180,0,0,0,0,0,0,153,1071.0,2020
Hospital Guarulhos,158,161,161,161,166,166,0,0,0,0,0,0,139,973.0,2020
Hospital Luzia de Pinho Melo,158,158,158,158,158,158,0,0,0,0,0,0,135,948.0,2020
Hospital Presidente Prudente,153,153,153,153,158,158,0,0,0,0,0,0,133,928.0,2020
Hospital Bauru,153,153,152,152,157,157,0,0,0,0,0,0,132,924.0,2020
Hospital Brigadeiro,140,140,140,140,140,140,0,0,0,0,0,0,120,840.0,2020
Hospital Grajau,131,131,131,131,133,133,0,0,0,0,0,0,113,790.0,2020
Hospital Pedreira,128,128,128,128,138,128,0,0,0,0,0,0,111,778.0,2020
Hospital Pirajussara,125,125,125,125,127,127,0,0,0,0,0,0,108,754.0,2020
Conjunto Hospitalar de Sorocaba,121,121,121,121,123,123,0,0,0,0,0,0,104,730.0,2020
Hospital Vila Alpina,118,118,118,118,123,123,0,0,0,0,0,0,103,718.0,2020
Hospital Itaquaquecetuba,137,110,110,110,115,115,0,0,0,0,0,0,100,697.0,2020
Hospital Itaim Paulista,125,113,113,113,115,115,0,0,0,0,0,0,99,694.0,2020
Hospital Local Sapopemba,112,112,112,112,114,114,0,0,0,0,0,0,97,676.0,2020
Hospital Itapecerica da Serra,110,110,110,110,112,112,0,0,0,0,0,0,95,664.0,2020
Hospital Sumaré,109,109,109,109,114,114,0,0,0,0,0,0,95,664.0,2020
Hospital Carapicuiba,107,107,107,107,107,107,0,0,0,0,0,0,92,642.0,2020
Hospital Itapevi,105,105,105,105,110,110,0,0,0,0,0,0,91,640.0,2020
Hospital Diadema,106,106,106,106,106,106,0,0,0,0,0,0,91,636.0,2020
HOSP. SOROCABA,103,103,103,103,108,108,0,0,0,0,0,0,90,628.0,2020
Hospital Base de Bauru,97,97,97,97,99,99,0,0,0,0,0,0,84,586.0,2020
HOSP. SÃO JOSÉ DOS CAMPOS,113,91,88,88,93,93,0,0,0,0,0,0,81,566.0,2020
Hospital Cotia,84,84,84,84,89,89,0,0,0,0,0,0,73,514.0,2020
Hospital Itanhaem,83,83,83,83,83,87,0,0,0,0,0,0,72,502.0,2020
Hospital Vale do Ribeira,80,80,80,80,80,80,0,0,0,0,0,0,69,480.0,2020
Hospital Franco da Rocha,74,74,74,74,84,84,0,0,0,0,0,0,66,464.0,2020
