Tipo,Número,Ano,Arquivo,oss,unidade,municipio,endereco,bairro,tipo,cnes,cnpj
Contrato de Gestão 2010,-,2010,Visualizar,Irmandade da Santa Casa de Misericórdia de São Paulo ,Centro de Atenção Integrada à Saúde Mental De Franco da Rocha(CAISM Franco da Rocha),Franco da Rocha,"Avenida dos Coqueiros, 300",Centro,Hospitais,2746220,62.779.145/0001-90
Contrato de Gestão 2010,-,2010,Visualizar,Irmandade da Santa Casa de Misericórdia de São Paulo ,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha(Hospital de Franco da Rocha)",Franco da Rocha,"Avenida dos Coqueiros, 300",Centro,Hospitais,2092107,62.779.145/0038-81
Contrato de Gestão 2010,-,2010,Visualizar,Fundação Faculdade de Medicina,Instituto de Reabilitação Lucy Montoro(Instituto de Reabilitação Lucy Montoro),São Paulo,"Rua Jandiatuba, 200",Vila Andrade,Hospitais,5451612,56.577.059/0010-92
Contrato de Gestão 2010,-,2010,Visualizar,Fundação PIO XII,Ambulatório Médico de Especialidades de Cirurgia Ambulatorial Barretos(AME Cirúrgico Barretos),Barretos,"Via Pedro Vicentine, 150",America,AME,6289304,49.150.352/0009-70
Contrato de Gestão 2010,-,2010,Visualizar,Santa Casa de Misericórdia de Fernandopolis,Ambulatório Médico de Especialidades de Fernandópolis (AME Fernandópolis),Fernandopolis,"Rua Milton Terra Verde, 451",Jd Santa Helena,AME,6959636,47.844.287/0002-80
Contrato de Gestão 2010,-,2010,Visualizar,Santa Casa de Misericórdia de Araçatuba,Ambulatório Médico de Especialidades de Promissão (AME Promissão),Promissão,"Av. Arthur Franco, 215",Jd. América,AME,6818196,43.751.502/0004-00
Contrato de Gestão 2010,-,2010,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Ambulatório Médico de Especialidades de Taboão da Serra (AME Taboão da Serra),Taboão da Serra,"Estrada de São Francisco, 1448",Jd. Helena,AME,7062672,61.699.567/0029-93
Contrato de Gestão 2010,-,2010,Visualizar,Fundação Santa Casa de Misericórdia de Franca,Ambulatório Médico de Especialidades Dr. Cirilo Barcelos(AME Franca),Franca,"Av. Dr. Alcindo Ribeiro Conrado,1395",Centro,AME,6669727,47.969.134/0004-21
Contrato de Gestão 2010,-,2010,Visualizar,Fundação do ABC,Ambulatório Médico de Especialidades Dr. Newton da Costa Brandão(AME Santo André),Santo André,"Av. Capitão Mário Toledo de Camargo, 3330",Jd. Guarará,AME,6655416,57.571.275/0015-06
Contrato de Gestão 2010,-,2010,Visualizar,Santa Casa de Misericórdia de Itapeva,Ambulatório Médico de Especialidades Edison Oliveira Martho(AME Itapeva),Itapeva,"Praça Espiridião Lúcio Martins, 220",Centro,AME,6604862,49.797.293/0002-50
Termo Aditivo 01/2010,1,2010,Visualizar,Associação Congregação de Santa Catarina,Ambulatório Médico de Especialidades Interlagos (AME Interlagos),São Paulo,"Rua Arthur Nascimento Junior, 120",Jd. Satélite,AME,6432530,60.922.168/0040-92
Contrato de Gestão 2010,-,2010,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social,Ambulatório Médico de Especialidades Olavo Silva Souza(AME Itu),Itu,"Rod Valdomiro Correa de Camargo, km 63",Tapera Grande,AME,6657516,60.598.448/0008-57
Contrato de Gestão 2010,-,2010,Visualizar,Associação Congregação de Santa Catarina,Centro de Referência do Idoso Zona Norte(CRI Zona Norte),São Paulo,"Rua Voluntários da Pátria, 4301",Santana,AME,3444538,60.922.168/0028-04
Contrato de Gestão 2010,-,2010,Visualizar,Santa Casa de Misericórdia de Fernandopolis,Unidade  de Reabilitação Lucy Montoro em Fernandópolis (Lucy Montoro Fernandópolis),Fernandopolis,"Rua Milton Terra Verde, 451",Jd Santa Helena,AME,7019823,47.844.287/0003-61
Contrato de Gestão 2010,-,2010,Visualizar,Associação Fundo De Incentivo à Psicofarmacologia - AFIP,Centro Estadual de Análises Clínicas da Zona Norte(CEAC Norte),São Paulo,"Rua Marselhesa, 500",Vila Clementino,Ceac,3996344,47.673.793/0076-90
Contrato de Gestão 2010,-,2010,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Centro Estadual de Armazenamento e Distribuição de Insumos de Saúde(CEADIS),São Paulo,"Avenida Engenheiro Roberto Zuccolo, 21",Vila Leopoldina,Ceadis,,61.687.356/0026-98
Contrato de Gestão 2010,-,2010,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Serviço Estadual de Diagnóstico por Imagem II(SEDI II),São Paulo,"Avenida Almirante Delamare, 1534",Jardim Nova Heliópolis,Sedi,6926207,61.687.356/0030-74
Contrato de Gestão 2010,-,2010,Visualizar,Fundação Instituto de Pesquisa e Estudo de Diagnóstico por Imagem - FIDI,Serviço Estadual de Diagnóstico por Imagem III(SEDI III),São Paulo,"Avenida Paulista, 1294 - 21o andar",Bela Vista,Sedi,6927726,55.401.178/0001-36
