Tipo,Número,Ano,Arquivo,oss,unidade,municipio,endereco,bairro,tipo,cnes,cnpj
Contrato de Gestão 2011,-,2011,Visualizar,Instituto de Responsabilidade Social Sírio Libanês,Hospital Estadual do Grajaú Professor Liberato John Alphonse Di Dio(Hospital Geral do Grajaú),São Paulo,"Rua Francsico Octávio Pacca, 180",Parque das Nações,Hospitais,2077671,60.922.168/0033-63
Contrato de Gestão 2011,-,2011,Visualizar,Irmandade da Santa Casa de Misericórdia de São Paulo ,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""(Hospital Geral de Guarulhos)",Guarulhos,"Alameda dos Lírios, 200",CECAP,Hospitais,2080338,62.779.145/0001-90
Contrato de Gestão 2011,-,2011,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Hospital Geral de Itapecerica da Serra(Hospital Geral de Itapecerica da Serra),Itapecerica da Serra,"Avenida Guacy Fernades Domingues, 200",Embu Mirim,Hospitais,2792176,61.687.356/0014-54
Contrato de Gestão 2011,-,2011,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social,Hospital Geral de Itapeví(Hospital Geral de Itapeví),Itapevi,"Rua Ari Barroso, sem no",Jardim Nova Itapevi,Hospitais,2078104,60.598.448/0001-80
Contrato de Gestão 2011,-,2011,Visualizar,Casa de Saúde Santa Marcelina,Hospital Geral de Itaquaquecetuba(Hospital Geral de Itaquaquecetuba),Itaquaquecetuba,"Rua Rio Negro,  48",Jardim Nova Itaqua,Hospitais,2078562,60.742.616/0007-55
Termo Aditivo 03/2011,3,2011,Visualizar,Associação Congregação de Santa Catarina,Hospital Geral de Pedreira(Hospital Geral de Pedreira),São Paulo,"Rua João Francisco de Moura, 251",Vila Campo Grande,Hospitais,2066092,60.922.168/0021-20
Contrato de Gestão 2011,-,2011,Visualizar,Casa de Saúde Santa Marcelina,Hospital Geral Santa Marcelina do Itaim Paulista(Hospital Geral do Itaim Paulista),São Paulo,"Avenida Marechal Tito, 6035",Itaim Paulista,Hospitais,2077620,60.742.616/0006-74
Contrato de Gestão 2011,-,2011,Visualizar,Fundação Padre Albino,Ambulatório Médico de Especialidades de Catanduva (AME Catanduva),Catanduva,"Rua Cascata , lado Impar s/no",Centro,AME,7049730,47.074.851/0015-48
Contrato de Gestão 2011,-,2011,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Ambulatório Médico de Especialidades de Mogi das Cruzes (AME Mogi das Cruzes),Mogi das Cruzes,"Rua Engenheiro Eugênio Motta, 313",Jd. Santista,AME,7021801,61.699.567/0037-01
Contrato de Gestão 2011,-,2011,Visualizar,Fundação PIO XII,Ambulatório Médico de Especialidades Geral de Barretos (AME Geral Barretos),Barretos,Av. Loja Maçonica Renovadora 68 no 105,Nova América,AME,6752233,49.150.352/0010-03
Termo de Distrato Contratual 2011,0,2011,Visualizar,Associação Congregação de Santa Catarina,Ambulatório Médico de Especialidades Interlagos (AME Interlagos),São Paulo,"Rua Arthur Nascimento Junior, 120",Jd. Satélite,AME,6432530,60.922.168/0040-92
Termo Aditivo 01/2011,1,2011,Visualizar,Associação Congregação de Santa Catarina,Ambulatório Médico de Especialidades Interlagos (AME Interlagos),São Paulo,"Rua Arthur Nascimento Junior, 120",Jd. Satélite,AME,6432530,60.922.168/0040-92
Contrato de Gestão 2011,-,2011,Visualizar,Instituto de Responsabilidade Social Sírio Libanês,Ambulatório Médico de Especialidades Interlagos (AME Interlagos),São Paulo,"Rua Arthur Nascimento Junior, 120",Jd. Satélite,AME,6432530,60.922.168/0040-92
Contrato de Gestão 2011,-,2011,Visualizar,Fundação do ABC,Ambulatório Médico de Especialidades Mauá(AME Mauá),Mauá,Rua Américo Perrela s/no,Centro,AME,6956718,57.571.275/0001-00
Contrato de Gestão 2011,-,2011,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Centro de Medicina de Reabilitação Lucy Montoro de São José dos Campos(Lucy Montoro de São José dos Campos),São José dos Campos,"Saigiro Nakamura, 600",Centro,AME,6889549,61.699.567/0036-12
