Tipo,Número,Ano,Arquivo,oss,unidade,municipio,endereco,bairro,tipo,cnes,cnpj
Contrato de Gestão 2008,-,2008,Visualizar,Irmandade da Santa Casa de Misericórdia de São Paulo ,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato(Hospital Estadual de Francisco Morato)",Francisco Morato,"Rodovia Manoel Silvério Pinto, 125 - KM  332",Estação Belém,Hospitais,3028399,62.779.145/0014-04
Contrato de Gestão 2008,-,2008,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,"Hospital Estadual ""Valdemar Sunhiga"" de Sapopemba(Hospital Estadual de Sapopemba)",São Paulo,"Rua Manuel França dos Santos, 174",Jardim Sapopemba,Hospitais,2091585,61.687.356/0025-07
Contrato de Gestão 2008,-,2008,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,Hospital Estadual João Paulo II (Hospital Estadual João Paulo II),Sâo José do Rio Preto,"Avenida Lino José de Seixas, 1455",Jardim Fuscaldo,Hospitais,6236596,53.221.255/0031-66
Contrato de Gestão 2008,-,2008,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba(Hospital Geral de Carapicuíba)",Carapicuíba,"Rua Pedreira, 95",Parque José Alexandre,Hospitais,2792168,60.598.448/0004-23
Contrato de Gestão 2008,-,2008,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Hospital Geral Henrique Altimeyer de Vila Alpina (Hospital Estadual de Vila Alpina),São Paulo,"Avenida Francisco Falconi, 1501",Vila Alpina,Hospitais,2077426,61.687.356/0003-00
Contrato de Gestão 2008,-,2008,Visualizar,Fundação Faculdade de Medicina,Instituto do Câncer do Estado de São Paulo(ICESP),São Paulo,"Avenida Doutor Arnaldo, 251",Cerqueira Cesar,Hospitais,6123740,56.577.059/0006-06
Contrato de Gestão 2008,-,2008,Visualizar,Sociedade Assistencial Bandeirantes,Ambulatório Médico de Especialidades Caraguatatuba (AME Caraguatatuba),Caraguatatuba,"Av. Acre, 1081",Indaia,AME,6233848,46.543.781/0012-14
Contrato de Gestão 2008,-,2008,Visualizar,Fundação do ABC,Ambulatório Médico de Especialidades de Praia Grande (AME Praia Grande),Praia Grande,"Rua Valter José Alves, s/n",Vila Mirim,AME,6258484,57.571.275/0010-93
Contrato de Gestão 2008,-,2008,Visualizar,Santa Casa de Misericórdia e Maternidade Dracena,Ambulatório Médico de Especialidades Dr. Francisco de Assis Martucci(AME Dracena),Dracena,"Rua Ipiranga, 1198",Centro,AME,6335497,47.617.584/0003-74
Contrato de Gestão 2008,-,2008,Visualizar,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Ambulatório Médico de Especialidades Dr. Luiz Roberto Barradas Barata(AME Heliópolis),São Paulo,"Av. Almirante Delamare, 1534",Novo Heliópolis,AME,6479200,61.687.356/0024-26
Contrato de Gestão 2008,-,2008,Visualizar,Santa Casa de Misericórdia de Votuporanga,Ambulatório Médico de Especialidades Santa Fé do Sul (AME Santa Fé do Sul),Santa Fé do Sul,"Avenida Navarro de Andrade, 40",Centro,AME,5967945,72.957.814/0003-91
Contrato de Gestão 2008,-,2008,Visualizar,Cruzada Bandeirante São Camilo Assistência Médico Social,Ambulatório Médico de Especialidades Santos (AME Santos),Santos,"Rua Alexandre Martins, 70",Aparecida,AME,6166598,60.598.448/0005-04
Contrato de Gestão 2008,-,2008,Visualizar,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Ambulatório Médico de Especialidades São José dos Campos(AME São José dos Campos),São José dos Campos,"Av. Engenheiro Francisco José Longo, 925",Jd. São Dimas,AME,6294049,61.699.567/0022-17
Contrato de Gestão 2008,-,2008,Visualizar,Associação Lar São Francisco de Assis na Providência de Deus ,Ambulatório Médico de Especialidades São José Rio Preto(AME São José do Rio Preto),São José do Rio Preto,"Rua Antonio Fuscaldo, s/n",Jardim Fuscaldo,AME,6056148,53.221.255/0023-56
Contrato de Gestão 2008,-,2008,Visualizar,Associação Congregação de Santa Catarina,Centro Estadual de Análises Clínicas da Zona Sul(CEAC Sul),São Paulo,"Avenida Nossa Senhora do Sabará, 234",Jardim Bélgica,Ceac,6351662,60.922.168/0034-44
