Beneficiário,Programa,Natureza,Convênio,Pago,Pagar,Base Referência,Sub-programa,ano
FUNDO - ADAMANTINA,Aedes Aegypti,Custeio,4.680,4.680,0,0.0,,2018
FUNDO - ADAMANTINA,Atenção Basica,Custeio,105.282,105.282,0,0.0,,2018
FUNDO - ADAMANTINA,Glicemia,Custeio,17.548,17.548,0,0.0,,2018
FUNDO - ADAMANTINA,Qualis Mais,Custeio,107.516,107.516,0,0.0,,2018
FUNDO - ADAMANTINA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ADOLFO,Aedes Aegypti,Custeio,3.480,3.480,0,0.0,,2018
FUNDO - ADOLFO,Atenção Basica,Custeio,10.848,10.848,0,0.0,,2018
FUNDO - ADOLFO,Glicemia,Custeio,1.856,1.856,0,0.0,,2018
FUNDO - ADOLFO,Qualis Mais,Custeio,32.016,32.016,0,0.0,,2018
FUNDO - AGUAI,Aedes Aegypti,Custeio,5.040,5.040,0,0.0,,2018
FUNDO - AGUAI,Atenção Basica,Custeio,105.567,105.567,0,0.0,,2018
FUNDO - AGUAI,Glicemia,Custeio,17.596,17.596,0,0.0,,2018
FUNDO - AGUAI,Qualis Mais,Custeio,179.676,179.676,0,0.0,,2018
FUNDO - AGUAI,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ÁGUAS DA PRATA,Atenção Basica,Custeio,24.195,24.195,0,0.0,,2018
FUNDO - ÁGUAS DA PRATA,Glicemia,Custeio,4.032,4.032,0,0.0,,2018
FUNDO - ÁGUAS DA PRATA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ÁGUAS DE LINDOIA,Aedes Aegypti,Custeio,3.240,3.240,0,0.0,,2018
FUNDO - ÁGUAS DE LINDOIA,Atenção Basica,Custeio,55.236,55.236,0,0.0,,2018
FUNDO - ÁGUAS DE LINDOIA,Glicemia,Custeio,9.208,9.208,0,0.0,,2018
FUNDO - ÁGUAS DE LINDOIA,Qualis Mais,Custeio,56.408,56.408,0,0.0,,2018
FUNDO - ÁGUAS DE LINDOIA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ÁGUAS DE SANTA BARBARA,Atenção Basica,Custeio,17.931,17.931,0,0.0,,2018
FUNDO - ÁGUAS DE SANTA BARBARA,Glicemia,Custeio,2.988,2.988,0,0.0,,2018
FUNDO - ÁGUAS DE SÃO PEDRO,Atenção Basica,Custeio,9.615,9.615,0,0.0,,2018
FUNDO - ÁGUAS DE SÃO PEDRO,Glicemia,Custeio,1.604,1.604,0,0.0,,2018
FUNDO - AGUDOS,Aedes Aegypti,Custeio,3.600,3.600,0,0.0,,2018
FUNDO - AGUDOS,Atenção Basica,Custeio,110.112,110.112,0,0.0,,2018
FUNDO - AGUDOS,Glicemia,Custeio,18.352,18.352,0,0.0,,2018
FUNDO - ALAMBARI,Aedes Aegypti,Custeio,2.760,2.760,0,0.0,,2018
FUNDO - ALAMBARI,Atenção Basica,Custeio,16.974,16.974,0,0.0,,2018
FUNDO - ALAMBARI,Glicemia,Custeio,2.828,2.828,0,0.0,,2018
FUNDO - ALAMBARI,Qualis Mais,Custeio,17.336,17.336,0,0.0,,2018
FUNDO - ALAMBARI,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ALFREDO MARCONDES,Aedes Aegypti,Custeio,3.240,3.240,0,0.0,,2018
FUNDO - ALFREDO MARCONDES,Atenção Basica,Custeio,12.354,12.354,0,0.0,,2018
FUNDO - ALFREDO MARCONDES,Glicemia,Custeio,2.060,2.060,0,0.0,,2018
FUNDO - ALFREDO MARCONDES,Qualis Mais,Custeio,21.028,21.028,0,0.0,,2018
FUNDO - ALTAIR,Aedes Aegypti,Custeio,3.120,3.120,0,0.0,,2018
FUNDO - ALTAIR,Atenção Basica,Custeio,12.255,12.255,0,0.0,,2018
FUNDO - ALTAIR,Glicemia,Custeio,2.044,2.044,0,0.0,,2018
FUNDO - ALTAIR,Qualis Mais,Custeio,36.168,27.126,9.042,0.0,,2018
FUNDO - ALTAIR,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ALTINÓPOLIS,Atenção Basica,Custeio,48.597,48.597,0,0.0,,2018
FUNDO - ALTINÓPOLIS,Glicemia,Custeio,8.100,8.100,0,0.0,,2018
FUNDO - ALTINÓPOLIS,Qualis Mais,Custeio,143.424,143.424,0,0.0,,2018
FUNDO - ALTINÓPOLIS,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ALTO ALEGRE,Atenção Basica,Custeio,12.492,12.492,0,0.0,,2018
FUNDO - ALTO ALEGRE,Glicemia,Custeio,2.132,2.132,0,0.0,,2018
FUNDO - ALTO ALEGRE,Qualis Mais,Custeio,36.868,36.868,0,0.0,,2018
FUNDO - ALTO ALEGRE,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ALUMINIO,Atenção Basica,Custeio,54.582,0,54.582,0.0,,2018
FUNDO - ALUMINIO,Glicemia,Custeio,9.097,0,9.097,0.0,,2018
FUNDO - ÁLVARES FLORENCE,Atenção Basica,Custeio,11.472,11.472,0,0.0,,2018
FUNDO - ÁLVARES FLORENCE,Glicemia,Custeio,1.940,1.940,0,0.0,,2018
FUNDO - ÁLVARES FLORENCE,Qualis Mais,Custeio,11.716,11.716,0,0.0,,2018
FUNDO - ÁLVARES FLORENCE,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ÁLVARES MACHADO,Aedes Aegypti,Custeio,10.080,10.080,0,0.0,,2018
FUNDO - ÁLVARES MACHADO,Atenção Basica,Custeio,74.199,55.649,18.550,0.0,,2018
FUNDO - ÁLVARES MACHADO,Glicemia,Custeio,12.368,12.368,0,0.0,,2018
FUNDO - ÁLVARES MACHADO,Qualis Mais,Custeio,126.288,126.288,0,0.0,,2018
FUNDO - ÁLVARES MACHADO,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ÁLVARO DE CARVALHO,Sistema Prisional,Custeio,259.200,259.200,0,0.0,,2018
FUNDO - ÁLVARO DE CARVALHO,Atenção Basica,Custeio,15.225,15.225,0,0.0,,2018
FUNDO - ÁLVARO DE CARVALHO,Glicemia,Custeio,2.536,2.536,0,0.0,,2018
FUNDO - ÁLVARO DE CARVALHO,Qualis Mais,Custeio,67.376,67.376,0,0.0,,2018
FUNDO - ÁLVARO DE CARVALHO,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ALVILANDIA,Atenção Basica,Custeio,9.546,9.546,0,0.0,,2018
FUNDO - ALVILANDIA,Glicemia,Custeio,1.592,1.592,0,0.0,,2018
FUNDO - ALVILANDIA,Qualis Mais,Custeio,16.248,16.248,0,0.0,,2018
FUNDO - ALVILANDIA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - AMERICANA,Aedes Aegypti,Custeio,4.440,4.440,0,0.0,,2018
FUNDO - AMERICANA,DST AIDS,Custeio,72.000,72.000,0,0.0,,2018
FUNDO - AMERICANA,Dose Certa,Custeio,430.816,430.816,0,0.0,,2018
FUNDO - AMERICANA,Atenção Basica,Custeio,694.863,694.863,0,0.0,,2018
FUNDO - AMERICANA,Glicemia,Custeio,115.812,115.812,0,0.0,,2018
FUNDO - AMÉRICO BRASILIENSE,Aedes Aegypti,Custeio,5.280,5.280,0,0.0,,2018
FUNDO - AMÉRICO BRASILIENSE,Atenção Basica,Custeio,116.103,116.103,0,0.0,,2018
FUNDO - AMÉRICO BRASILIENSE,Glicemia,Custeio,19.352,19.352,0,0.0,,2018
FUNDO - AMÉRICO BRASILIENSE,Qualis Mais,Custeio,118.564,118.564,0,0.0,,2018
FUNDO - AMÉRICO BRASILIENSE,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - AMÉRICO DE CAMPOS,Aedes Aegypti,Custeio,3.720,3.720,0,0.0,,2018
FUNDO - AMÉRICO DE CAMPOS,Atenção Basica,Custeio,17.865,17.865,0,0.0,,2018
FUNDO - AMÉRICO DE CAMPOS,Glicemia,Custeio,2.976,2.976,0,0.0,,2018
FUNDO - AMÉRICO DE CAMPOS,Qualis Mais,Custeio,30.408,30.408,0,0.0,,2018
FUNDO - AMPARO,Aedes Aegypti,Custeio,12.600,12.600,0,0.0,,2018
FUNDO - AMPARO,Atenção Basica,Custeio,212.226,212.226,0,0.0,,2018
FUNDO - AMPARO,Glicemia,Custeio,35.372,35.372,0,0.0,,2018
FUNDO - ANALANDIA,Atenção Basica,Custeio,14.367,14.367,0,0.0,,2018
FUNDO - ANALANDIA,Glicemia,Custeio,2.396,2.396,0,0.0,,2018
FUNDO - ANDRADINA,Aedes Aegypti,Custeio,17.280,17.280,0,0.0,,2018
FUNDO - ANDRADINA,Atenção Basica,Custeio,171.900,171.900,0,0.0,,2018
FUNDO - ANDRADINA,Glicemia,Custeio,28.652,28.652,0,0.0,,2018
FUNDO - ANDRADINA,Sorria SP,Custeio,36.000,36.000,0,0.0,,2018
FUNDO - ANGATUBA,Aedes Aegypti,Custeio,6.120,6.120,0,0.0,,2018
FUNDO - ANGATUBA,Atenção Basica,Custeio,73.200,73.200,0,0.0,,2018
FUNDO - ANGATUBA,Glicemia,Custeio,12.200,12.200,0,0.0,,2018
