Beneficiário,Programa,Natureza,Convênio,Pago,Pagar,Base Referência,Sub-programa,ano
FUNDO - ADAMANTINA,Atenção Basica,Custeio,105.144,105.144,0,0,,2017
FUNDO - ADAMANTINA,Qualis Mais,Custeio,105.144,105.144,0,0,,2017
FUNDO - ADAMANTINA,Glicemia,Custeio,17.212,17.212,0,0,,2017
FUNDO - ADAMANTINA,Sorria SP,Custeio,36.000,36.000,0,0,,2017
FUNDO - ADAMANTINA,Dose Certa,Custeio,2.437,2.437,0,0,,2017
FUNDO - ADAMANTINA,Dose Certa,Custeio,2.198,2.198,0,0,,2017
FUNDO - ADOLFO,Atenção Basica,Custeio,10.868,10.868,0,0,,2017
FUNDO - ADOLFO,Qualis Mais,Custeio,31.412,31.412,0,0,,2017
FUNDO - ADOLFO,Glicemia,Custeio,1.856,1.856,0,0,,2017
FUNDO - ADOLFO,Dose Certa,Custeio,190,190,0,0,,2017
FUNDO - ADOLFO,Dose Certa,Custeio,65,65,0,0,,2017
FUNDO - AGUAI,Atenção Basica,Custeio,104.589,104.589,0,0,,2017
FUNDO - AGUAI,Qualis Mais,Custeio,174.315,130.737,43.578,0,,2017
FUNDO - AGUAI,Glicemia,Custeio,16.224,16.224,0,0,,2017
FUNDO - AGUAI,Sorria SP,Custeio,36.000,36.000,0,0,,2017
FUNDO - AGUAI,Dose Certa,Custeio,1.961,1.961,0,0,,2017
FUNDO - AGUAI,Dose Certa,Custeio,16,16,0,0,,2017
FUNDO - ÁGUAS DA PRATA,Atenção Basica,Custeio,24.076,24.076,0,0,,2017
FUNDO - ÁGUAS DA PRATA,Glicemia,Custeio,3.868,3.868,0,0,,2017
FUNDO - ÁGUAS DA PRATA,Sorria SP,Custeio,36.000,36.000,0,0,,2017
FUNDO - ÁGUAS DA PRATA,Dose Certa,Custeio,402,402,0,0,,2017
FUNDO - ÁGUAS DA PRATA,Dose Certa,Custeio,145,145,0,0,,2017
FUNDO - ÁGUAS DE LINDOIA,Atenção Basica,Custeio,54.939,41.205,13.734,0,,2017
FUNDO - ÁGUAS DE LINDOIA,Qualis Mais,Custeio,54.939,27.470,27.469,0,,2017
FUNDO - ÁGUAS DE LINDOIA,Glicemia,Custeio,8.677,6.507,2.170,0,,2017
FUNDO - ÁGUAS DE LINDOIA,Sorria SP,Custeio,36.000,36.000,0,0,,2017
FUNDO - ÁGUAS DE LINDOIA,Dose Certa,Custeio,1.828,1.828,0,0,,2017
FUNDO - ÁGUAS DE LINDOIA,Dose Certa,Custeio,162,162,0,0,,2017
FUNDO - ÁGUAS DE SANTA BARBARA,Atenção Basica,Custeio,17.832,17.832,0,0,,2017
FUNDO - ÁGUAS DE SANTA BARBARA,Glicemia,Custeio,2.816,2.816,0,0,,2017
FUNDO - ÁGUAS DE SANTA BARBARA,Dose Certa,Custeio,467,467,0,0,,2017
FUNDO - ÁGUAS DE SANTA BARBARA,Dose Certa,Custeio,65,65,0,0,,2017
