Beneficiário,Programa,Natureza,Convênio,Pago,Pagar,Base Referência,Sub-programa,ano
FUNDO - ADAMANTINA,Atenção Basica,Custeio,104.859,104.859,0.0,0,,2014
FUNDO - ADAMANTINA,Glicemia,Custeio,17.212,17.212,0.0,0,,2014
FUNDO - ADOLFO,Atenção Basica,Custeio,10.917,10.917,0.0,0,,2014
FUNDO - ADOLFO,Glicemia,Custeio,1.855,1.855,0.0,0,,2014
FUNDO - ADOLFO,Qualis Mais,Custeio,48.000,48.000,0.0,0,,2014
FUNDO - AGUAI,Atenção Basica,Custeio,102.564,102.564,0.0,0,,2014
FUNDO - AGUAI,Glicemia,Custeio,16.226,16.226,0.0,0,,2014
FUNDO - AGUAI,Qualis Mais,Custeio,18.000,18.000,0.0,0,,2014
FUNDO - ÁGUAS DA PRATA,Atenção Basica,Custeio,23.826,23.826,0.0,0,,2014
FUNDO - ÁGUAS DA PRATA,Glicemia,Custeio,3.867,3.867,0.0,0,,2014
FUNDO - ÁGUAS DE LINDOIA,Atenção Basica,Custeio,54.324,54.324,0.0,0,,2014
FUNDO - ÁGUAS DE LINDOIA,Glicemia,Custeio,8.677,8.677,0.0,0,,2014
FUNDO - ÁGUAS DE SANTA BARBARA,Atenção Basica,Custeio,17.628,17.628,0.0,0,,2014
FUNDO - ÁGUAS DE SANTA BARBARA,Glicemia,Custeio,2.815,2.815,0.0,0,,2014
FUNDO - ÁGUAS DE SÃO PEDRO,Atenção Basica,Custeio,9.012,9.012,0.0,0,,2014
FUNDO - ÁGUAS DE SÃO PEDRO,Glicemia,Custeio,1.386,1.386,0.0,0,,2014
FUNDO - AGUDOS,Atenção Basica,Custeio,108.450,108.450,0.0,0,,2014
FUNDO - AGUDOS,Glicemia,Custeio,18.094,18.094,0.0,0,,2014
FUNDO - AGUDOS,Qualis Mais,Custeio,168.000,168.000,0.0,0,,2014
FUNDO - ALAMBARI,Atenção Basica,Custeio,16.068,16.068,0.0,0,,2014
FUNDO - ALAMBARI,Glicemia,Custeio,2.490,2.490,0.0,0,,2014
FUNDO - ALAMBARI,Qualis Mais,Custeio,48.000,48.000,0.0,0,,2014
FUNDO - ALFREDO MARCONDES,Atenção Basica,Custeio,12.192,12.192,0.0,0,,2014
FUNDO - ALFREDO MARCONDES,Glicemia,Custeio,2.028,2.028,0.0,0,,2014
FUNDO - ALFREDO MARCONDES,Qualis Mais,Custeio,96.000,96.000,0.0,0,,2014
FUNDO - ALTAIR,Atenção Basica,Custeio,12.030,12.030,0.0,0,,2014
FUNDO - ALTAIR,Glicemia,Custeio,1.919,1.919,0.0,0,,2014
FUNDO - ALTAIR,Qualis Mais,Custeio,48.000,48.000,0.0,0,,2014
FUNDO - ALTINÓPOLIS,Atenção Basica,Custeio,48.411,48.411,0.0,0,,2014
FUNDO - ALTINÓPOLIS,Glicemia,Custeio,7.809,7.809,0.0,0,,2014
FUNDO - ALTINÓPOLIS,Qualis Mais,Custeio,192.000,192.000,0.0,0,,2014
FUNDO - ALTO ALEGRE,Atenção Basica,Custeio,12.579,12.579,0.0,0,,2014
FUNDO - ALTO ALEGRE,Glicemia,Custeio,2.134,2.134,0.0,0,,2014
FUNDO - ALTO ALEGRE,Qualis Mais,Custeio,96.000,96.000,0.0,0,,2014
FUNDO - ALUMINIO,Atenção Basica,Custeio,53.352,53.352,0.0,0,,2014
FUNDO - ALUMINIO,Glicemia,Custeio,8.481,8.481,0.0,0,,2014
FUNDO - ÁLVARES FLORENCE,Atenção Basica,Custeio,11.745,11.745,0.0,0,,2014
FUNDO - ÁLVARES FLORENCE,Glicemia,Custeio,1.938,1.938,0.0,0,,2014
FUNDO - ÁLVARES FLORENCE,Qualis Mais,Custeio,48.000,48.000,0.0,0,,2014
FUNDO - ÁLVARES MACHADO,Atenção Basica,Custeio,73.446,73.446,0.0,0,,2014
