Beneficiário,Programa,Natureza,Convênio,Pago,Pagar,Base Referência,Sub-programa,ano
FUNDO - ADAMANTINA,Sorria SP,Custeio,36.000,18.000,18.000,0,,2020
FUNDO - ADAMANTINA,Dose Certa,Custeio,1.390,1.390,0,0,,2020
FUNDO - ADAMANTINA,COVID19,Custeio,56.037,56.037,0,0,,2020
FUNDO - ADAMANTINA,COVID19,Custeio,84.055,84.055,0,0,,2020
FUNDO - ADAMANTINA,Aedes Aegypti,Custeio,6.668,0,6.668,0,,2020
FUNDO - ADAMANTINA,Glicemia,Custeio,13.624,3.406,10.218,0,,2020
FUNDO - ADAMANTINA,Dose Certa,Custeio,2.281,2.281,0,0,,2020
FUNDO - ADAMANTINA,Dose Certa,Custeio,2.823,2.823,0,0,,2020
FUNDO - ADAMANTINA,Atenção Basica,Custeio,140.272,35.068,105.204,0,,2020
FUNDO - ADOLFO,Dose Certa,Custeio,88,88,0,0,,2020
FUNDO - ADOLFO,COVID19,Custeio,5.714,5.714,0,0,,2020
FUNDO - ADOLFO,COVID19,Custeio,8.570,8.570,0,0,,2020
FUNDO - ADOLFO,COVID19,Investimento,200.000,200.000,0,0,,2020
FUNDO - ADOLFO,Glicemia,Custeio,5.929,1.482,4.447,0,,2020
FUNDO - ADOLFO,Qualis Mais,Custeio,8.104,0,8.104,0,,2020
FUNDO - ADOLFO,Dose Certa,Custeio,129,129,0,0,,2020
FUNDO - ADOLFO,Dose Certa,Custeio,379,379,0,0,,2020
FUNDO - ADOLFO,Atenção Basica,Custeio,14.248,3.562,10.686,0,,2020
FUNDO - AGUAI,Sorria SP,Custeio,36.000,18.000,18.000,0,,2020
FUNDO - AGUAI,Dose Certa,Custeio,633,633,0,0,,2020
FUNDO - AGUAI,Aedes Aegypti,Custeio,9.383,9.383,0,0,,2020
FUNDO - AGUAI,COVID19,Custeio,57.526,57.526,0,0,,2020
FUNDO - AGUAI,COVID19,Custeio,86.290,86.290,0,0,,2020
FUNDO - AGUAI,Glicemia,Custeio,18.153,4.538,13.615,0,,2020
FUNDO - AGUAI,Dose Certa,Custeio,4.926,1.231,3.695,0,,2020
FUNDO - AGUAI,Dose Certa,Custeio,36,36,0,0,,2020
FUNDO - AGUAI,Dose Certa,Custeio,315,315,0,0,,2020
FUNDO - AGUAI,Qualis Mais,Custeio,47.054,0,47.054,0,,2020
FUNDO - AGUAI,Dose Certa,Custeio,362,362,0,0,,2020
FUNDO - AGUAI,Dose Certa,Custeio,967,967,0,0,,2020
FUNDO - AGUAI,Atenção Basica,Custeio,145.220,36.305,108.915,0,,2020
