Beneficiário,Programa,Natureza,Convênio,Pago,Pagar,Base Referência,Sub-programa,ano
FUNDO - ADAMANTINA,Glicemia,Custeio,17.548,17.548,0,0,,2019
FUNDO - ADAMANTINA,Dose Certa,Custeio,14.254,14.254,0,0,,2019
FUNDO - ADAMANTINA,Dose Certa,Custeio,576,576,0,0,,2019
FUNDO - ADAMANTINA,Atenção Basica,Custeio,140.092,140.092,0,0,,2019
FUNDO - ADAMANTINA,Dose Certa,Custeio,388,388,0,0,,2019
FUNDO - ADAMANTINA,Dose Certa,Custeio,2.465,2.465,0,0,,2019
FUNDO - ADAMANTINA,Dose Certa,Custeio,135,135,0,0,,2019
FUNDO - ADOLFO,Glicemia,Custeio,1.856,1.856,0,0,,2019
FUNDO - ADOLFO,Qualis Mais,Custeio,32.415,32.415,0,0,,2019
FUNDO - ADOLFO,Dose Certa,Custeio,1.048,1.048,0,0,,2019
FUNDO - ADOLFO,Dose Certa,Custeio,58,58,0,0,,2019
FUNDO - ADOLFO,Atenção Basica,Custeio,14.284,14.284,0,0,,2019
FUNDO - ADOLFO,Dose Certa,Custeio,97,97,0,0,,2019
FUNDO - ADOLFO,Dose Certa,Custeio,136,136,0,0,,2019
FUNDO - ADOLFO,Dose Certa,Custeio,305,305,0,0,,2019
FUNDO - AGUAI,Glicemia,Custeio,17.596,17.596,0,0,,2019
FUNDO - AGUAI,Qualis Mais,Custeio,188.214,188.214,0,0,,2019
FUNDO - AGUAI,Dose Certa,Custeio,9.347,9.347,0,0,,2019
FUNDO - AGUAI,Dose Certa,Custeio,221,221,0,0,,2019
FUNDO - AGUAI,Atenção Basica,Custeio,143.816,143.816,0,0,,2019
FUNDO - AGUAI,Dose Certa,Custeio,349,349,0,0,,2019
FUNDO - AGUAI,Dose Certa,Custeio,1.079,1.079,0,0,,2019
FUNDO - ÁGUAS DA PRATA,Glicemia,Custeio,4.032,4.032,0,0,,2019
FUNDO - ÁGUAS DA PRATA,Dose Certa,Custeio,1.598,1.598,0,0,,2019
FUNDO - ÁGUAS DA PRATA,Dose Certa,Custeio,96,96,0,0,,2019
