UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
Gabinete CGCSS,Coordenadoria de Gestão de Contratos de Serviços de Saúde,4.257.885,4.047.527.701,0,4.051.785.586,2016
Hospital das Clínicas de São Paulo,HC São Paulo,788.793.435,550.835.690,46.810.379,1.386.439.504,2016
Gabinete do Secretário,Administração Superior Secretaria e Sede,826.408.572,216.376.241,252.574.547,1.295.359.361,2016
CCTIES - Gabinete do Coordenador,Coordenadoria de Insumos Estratégicos,5.126.414,891.603.041,0,896.729.455,2016
Hospital das Clínicas de Ribeirão Preto,HC Ribeirão Preto,344.415.568,157.393.935,4.499.945,506.309.448,2016
Coordenadoria de Recursos Humanos,Administração Superior Secretaria e Sede,94.287.961,197.298.194,44.907,291.631.062,2016
Coordenadoria de Gestão Orçamentária e Financeira,Administração Superior Secretaria e Sede,95.285.345,167.068.232,1.626.884,263.980.461,2016
Fundação para o Remédio Popular - FURP,FURP,63.425.166,178.519.905,8.067.465,250.012.535,2016
Conjunto Hospitalar do Mandaqui,Coordenadoria de Serviços de Saúde,129.178.673,66.264.356,770.248,196.213.277,2016
DRS I Grande São Paulo,Coordenadoria de Regiões de Saúde,174.269.325,18.833.198,0,193.102.523,2016
Hospital das Clínicas de Botucatu,HC Botucatu,66.103.242,113.929.618,10.215.233,190.248.093,2016
Conjunto Hospitalar de Sorocaba,Coordenadoria de Serviços de Saúde,98.266.197,68.895.509,1.894.823,169.056.530,2016
Instituto Adolfo Lutz,Coordenadoria de Controle de Doenças,111.067.259,34.063.118,3.437.807,148.568.185,2016
Centro de Referência da Saúde da Mulher,Coordenadoria de Serviços de Saúde,103.082.528,36.933.862,696.439,140.712.829,2016
Hospital Regional Sul,Coordenadoria de Serviços de Saúde,97.481.997,35.285.524,43.533,132.811.054,2016
Instituto de Infectologia Emílio Ribas,Coordenadoria de Serviços de Saúde,98.215.509,31.447.126,430.587,130.093.222,2016
Coordenadoria Geral de Administração,Administração Superior Secretaria e Sede,15.247.579,102.168.059,12.344.735,129.760.374,2016
Hospital Ipiranga,Coordenadoria de Serviços de Saúde,92.799.682,36.255.954,458.119,129.513.755,2016
Hospital Regional Dr. Osíris Florindo Coelho.,Coordenadoria de Serviços de Saúde,86.748.808,39.223.715,521.205,126.493.729,2016
Hospital Guilherme Álvaro,Coordenadoria de Serviços de Saúde,86.434.950,37.076.004,661.984,124.172.937,2016
Instituto Dante Pazzanese de Cardiologia,Coordenadoria de Serviços de Saúde,61.294.960,59.806.160,284.715,121.385.835,2016
Hospital Heliópolis,Coordenadoria de Serviços de Saúde,73.214.154,43.251.679,582.198,117.048.032,2016
Hospital Regional de Osasco,Coordenadoria de Serviços de Saúde,85.083.108,31.265.875,618.478,116.967.461,2016
Hospital Geral de Taipas,Coordenadoria de Serviços de Saúde,70.017.075,42.713.866,1.053.437,113.784.378,2016
Hospital Geral de São Mateus,Coordenadoria de Serviços de Saúde,89.273.724,21.656.661,591.354,111.521.739,2016
Hospital Geral de Vila Nova Cachoeirinha,Coordenadoria de Serviços de Saúde,74.092.876,35.010.991,930.806,110.034.673,2016
Superintendência de Controle de Endemias - SUCEN,Sucen,82.039.144,16.307.394,717.428,99.063.966,2016
DGAC,Coordenadoria de Serviços de Saúde,46.177.189,51.942.328,660.536,98.780.053,2016
HOSP. GERAL DR.JOSE PANGELLA DE VILA PENTEADO,Coordenadoria de Serviços de Saúde,71.870.512,24.653.056,443.297,96.966.865,2016
Instituto Butantan,Coordenadoria de Insumos Estratégicos,67.146.690,29.044.440,0,96.191.130,2016
Hospital Geral de Guaianases.,Coordenadoria de Serviços de Saúde,51.927.240,39.399.176,342.137,91.668.553,2016
Complexo Hospitalar do Juquery,Coordenadoria de Serviços de Saúde,61.025.465,18.916.208,734.376,80.676.048,2016
Complexo Hospitalar Padre Bento,Coordenadoria de Serviços de Saúde,66.508.004,13.625.871,102.535,80.236.410,2016
Fundação Pró-Sangue Hemocentro,Hemocentro,42.700.915,35.873.457,305.064,78.879.437,2016
CERAPC,Coordenadoria de Serviços de Saúde,55.521.417,21.536.181,233.988,77.291.585,2016
Centro de Referência e Treinamento DST/AIDS,Coordenadoria de Controle de Doenças,43.191.427,30.702.379,1.277.925,75.171.731,2016
Hospital Infantil Darcy Vargas,Coordenadoria de Serviços de Saúde,55.545.000,16.299.628,775.858,72.620.486,2016
DRS XV São J. Rio Preto,Coordenadoria de Regiões de Saúde,29.630.877,40.622.057,7.800,70.260.734,2016
Hospital e Maternidade Leonor M. Barros,Coordenadoria de Serviços de Saúde,53.558.650,12.396.999,500.060,66.455.709,2016
Hospital - Assis,Coordenadoria de Serviços de Saúde,53.266.908,12.548.136,168.219,65.983.263,2016
Centro de Vigilância Sanitária,Coordenadoria de Controle de Doenças,57.906.855,3.563.912,305.990,61.776.756,2016
Centro de Vigilância Epidemiológica,Coordenadoria de Controle de Doenças,49.168.129,10.928.969,1.390.867,61.487.964,2016
DRS VII Campinas,Coordenadoria de Regiões de Saúde,25.333.542,35.756.933,0,61.090.475,2016
Hospital Infantil Cândido Fontoura,Coordenadoria de Serviços de Saúde,45.529.787,11.906.097,511.558,57.947.442,2016
DRS VI Bauru,Coordenadoria de Regiões de Saúde,33.188.224,22.661.391,0,55.849.615,2016
Hospital e Maternidade Interlagos,Coordenadoria de Serviços de Saúde,36.774.510,14.513.629,149.440,51.437.578,2016
BID,Administração Superior Secretaria e Sede,0,12.546.130,35.371.380,47.917.510,2016
DRS XIII Ribeirão Preto,Coordenadoria de Regiões de Saúde,17.916.433,29.657.142,0,47.573.576,2016
DRS XVI Sorocaba,Coordenadoria de Regiões de Saúde,18.178.257,28.601.199,0,46.779.456,2016
DRS IX Marilia,Coordenadoria de Regiões de Saúde,23.332.261,22.209.183,46.023,45.587.467,2016
CAIS - Clemente Ferreira,Coordenadoria de Serviços de Saúde,30.610.448,5.674.397,210.699,36.495.544,2016
"Hospital Santa Tereza, Ribeirão Preto",Coordenadoria de Serviços de Saúde,25.135.184,10.993.743,188.801,36.317.728,2016
Centro de Reabilitação de Casa Branca,Coordenadoria de Serviços de Saúde,28.649.807,6.117.478,84.871,34.852.156,2016
Hospital Geral de Promissão,Coordenadoria de Serviços de Saúde,24.845.230,9.713.830,101.155,34.660.215,2016
DRS XI Presidente Prudente,Coordenadoria de Regiões de Saúde,15.233.017,19.132.063,0,34.365.080,2016
Instituto Lauro de Souza Lima,Coordenadoria de Serviços de Saúde,21.621.183,11.388.059,206.198,33.215.440,2016
CAIS - Santa Rita do Passa Quatro,Coordenadoria de Serviços de Saúde,25.565.974,7.215.224,0,32.781.198,2016
DRS XVII Taubaté,Coordenadoria de Regiões de Saúde,20.064.338,12.363.466,0,32.427.804,2016
Gabinete do Coordenador - CSS,Coordenadoria de Serviços de Saúde,24.310.799,7.576.190,25.346,31.912.335,2016
DRS V Barretos,Coordenadoria de Regiões de Saúde,10.026.536,20.200.912,0,30.227.449,2016
DRS IV B.Santista,Coordenadoria de Regiões de Saúde,14.446.028,15.702.431,0,30.148.459,2016
Grupo de Gerenciamento Administrativo,Coordenadoria de Controle de Doenças,15.384.278,13.045.646,255.622,28.685.545,2016
Hospital Dr. Francisco Ribeiro Arantes,Coordenadoria de Serviços de Saúde,16.357.344,12.083.765,107.774,28.548.883,2016
CAISM - Phillipe Pinel,Coordenadoria de Serviços de Saúde,22.190.248,6.184.371,60.094,28.434.713,2016
DRS X Piracicaba,Coordenadoria de Regiões de Saúde,12.590.563,15.382.760,0,27.973.323,2016
DRS VIII Franca,Coordenadoria de Regiões de Saúde,11.442.136,15.948.265,0,27.390.400,2016
Hospital das Clínicas de Marília,HC Marilia,210.803,22.653.920,4.499.915,27.364.637,2016
