UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
Gabinete CGCSS,Coordenadoria de Gestão de Contratos de Serviços de Saúde,3.936.247,4.306.879.635,14.553,4.310.830.435,2017
Hospital das Clínicas de São Paulo,HC São Paulo,779.545.896,1.031.308.510,43.958.519,1.854.812.925,2017
Coordenadoria de Gestão Orçamentária e Financeira,Administração Superior Secretaria e Sede,130.388.592,468.348.257,274.816.144,873.552.993,2017
Gabinete do Coordenador - CAF,Coordenadoria de Assistência Farmacêutica,1.754.906,595.725.018,0,597.479.923,2017
Gabinete do Secretário,Administração Superior Secretaria e Sede,518.590.789,4.824.641,7.076.840,530.492.270,2017
Hospital das Clínicas de Ribeirão Preto,HC Ribeirão Preto,344.960.238,168.046.234,3.816.662,516.823.135,2017
Coordenadoria de Recursos Humanos,Administração Superior Secretaria e Sede,134.885.362,215.536.104,131.655,350.553.121,2017
Coordenadoria Geral de Administração,Administração Superior Secretaria e Sede,14.767.176,156.372.985,168.896.720,340.036.880,2017
Grupo de Gerenc. das Demandas por Medicamentos,Coordenadoria de Assistência Farmacêutica,0,332.793.787,0,332.793.787,2017
Fundação para o Remédio Popular - FURP,FURP,61.921.089,242.889.454,7.223.268,312.033.811,2017
BID,Administração Superior Secretaria e Sede,0,365.092,252.147.882,252.512.975,2017
Conjunto Hospitalar do Mandaqui,Coordenadoria de Serviços de Saúde,133.117.286,70.039.818,1.935.481,205.092.585,2017
Hospital das Clínicas de Botucatu,HC Botucatu,64.533.172,120.996.063,11.351.771,196.881.006,2017
DRS I Grande São Paulo,Coordenadoria de Regiões de Saúde,162.611.345,20.655.127,46.049,183.312.521,2017
Conjunto Hospitalar de Sorocaba,Coordenadoria de Serviços de Saúde,99.764.292,72.645.962,940.191,173.350.445,2017
Hospital Regional Sul,Coordenadoria de Serviços de Saúde,99.736.786,36.107.085,860.913,136.704.784,2017
Hospital Ipiranga,Coordenadoria de Serviços de Saúde,98.063.992,36.369.731,683.914,135.117.638,2017
Instituto de Infectologia Emílio Ribas,Coordenadoria de Serviços de Saúde,101.110.352,33.071.251,443.840,134.625.443,2017
Instituto Adolfo Lutz,Coordenadoria de Controle de Doenças,109.413.754,21.455.588,789.294,131.658.636,2017
Hospital Guilherme Álvaro,Coordenadoria de Serviços de Saúde,91.050.818,37.395.113,463.267,128.909.199,2017
Hospital Regional Dr. Osíris Florindo Coelho.,Coordenadoria de Serviços de Saúde,88.451.222,38.356.399,295.319,127.102.940,2017
Instituto Dante Pazzanese de Cardiologia,Coordenadoria de Serviços de Saúde,64.170.145,61.853.948,314.048,126.338.141,2017
Hospital Heliópolis,Coordenadoria de Serviços de Saúde,77.469.047,46.772.044,1.001.909,125.243.000,2017
Centro de Referência da Saúde da Mulher,Coordenadoria de Serviços de Saúde,80.309.271,40.211.414,849.724,121.370.409,2017
Hospital Regional de Osasco,Coordenadoria de Serviços de Saúde,86.290.290,34.048.146,123.577,120.462.012,2017
CCTIES - Gabinete do Coordenador,Coordenadoria de Insumos Estratégicos,4.054.802,115.106.981,0,119.161.783,2017
Hospital Geral de Taipas,Coordenadoria de Serviços de Saúde,72.089.853,44.230.739,292.850,116.613.442,2017
Hospital Geral de Vila Nova Cachoeirinha,Coordenadoria de Serviços de Saúde,77.134.678,37.082.610,688.042,114.905.329,2017
Hospital Geral de São Mateus,Coordenadoria de Serviços de Saúde,90.673.539,22.311.240,600.016,113.584.795,2017
HOSP. GERAL DR.JOSE PANGELLA DE VILA PENTEADO,Coordenadoria de Serviços de Saúde,72.533.149,27.890.919,362.597,100.786.666,2017
Instituto Butantan,Coordenadoria de Insumos Estratégicos,65.843.330,34.562.689,0,100.406.019,2017
Hospital Geral de Guaianases.,Coordenadoria de Serviços de Saúde,52.570.515,40.161.576,352.459,93.084.550,2017
DGAC,Coordenadoria de Serviços de Saúde,45.007.427,46.558.324,705.686,92.271.437,2017
Complexo Hospitalar Padre Bento,Coordenadoria de Serviços de Saúde,68.014.531,18.205.075,1.069.127,87.288.733,2017
Centro de Referência e Treinamento DST/AIDS,Coordenadoria de Controle de Doenças,42.804.160,39.837.726,488.081,83.129.967,2017
CERAPC,Coordenadoria de Serviços de Saúde,58.196.234,21.366.462,541.365,80.104.062,2017
Complexo Hospitalar do Juquery,Coordenadoria de Serviços de Saúde,60.456.276,18.047.785,372.622,78.876.684,2017
Fundação Pró-Sangue Hemocentro,Hemocentro,42.583.628,36.049.294,157.933,78.790.855,2017
Superintendência de Controle de Endemias - SUCEN,Sucen,64.199.834,13.611.042,204.900,78.015.776,2017
Hospital Infantil Darcy Vargas,Coordenadoria de Serviços de Saúde,56.774.133,15.545.200,647.181,72.966.514,2017
Hospital e Maternidade Leonor M. Barros,Coordenadoria de Serviços de Saúde,56.632.384,13.158.700,236.376,70.027.460,2017
Hospital - Assis,Coordenadoria de Serviços de Saúde,55.727.940,13.232.748,12.209,68.972.897,2017
DRS XV São J. Rio Preto,Coordenadoria de Regiões de Saúde,27.625.511,40.649.848,7.035,68.282.394,2017
DRS VII Campinas,Coordenadoria de Regiões de Saúde,23.748.360,37.515.649,4.600,61.268.609,2017
Centro de Vigilância Sanitária,Coordenadoria de Controle de Doenças,56.614.455,3.239.220,30.140,59.883.815,2017
Hospital Infantil Cândido Fontoura,Coordenadoria de Serviços de Saúde,47.132.536,11.626.585,382.101,59.141.222,2017
Centro de Vigilância Epidemiológica,Coordenadoria de Controle de Doenças,45.912.471,11.706.230,311.444,57.930.146,2017
DRS VI Bauru,Coordenadoria de Regiões de Saúde,31.201.789,23.745.038,6.600,54.953.427,2017
Hospital e Maternidade Interlagos,Coordenadoria de Serviços de Saúde,36.865.775,15.798.600,307.107,52.971.482,2017
DRS XIII Ribeirão Preto,Coordenadoria de Regiões de Saúde,17.361.794,32.015.754,8.800,49.386.348,2017
