UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
Gabinete CGCSS,Coordenadoria de Gestão de Contratos de Serviços de Saúde,4.584.396,3.645.865.675,19.430,3.650.469.501,2015
Hospital das Clínicas de São Paulo,HC São Paulo,841.012.460,532.945.520,70.475.343,1.444.433.323,2015
CCTIES - Gabinete do Coordenador,Coordenadoria de Insumos Estratégicos,4.964.509,980.874.998,0,985.839.506,2015
Gabinete do Secretário,Administração Superior Secretaria e Sede,346.751.347,377.641.003,205.543.132,929.935.482,2015
Hospital das Clínicas de Ribeirão Preto,HC Ribeirão Preto,346.549.558,149.847.352,6.448.415,502.845.325,2015
Fundação para o Remédio Popular - FURP,FURP,62.717.849,325.738.138,4.918.347,393.374.335,2015
Coordenadoria de Recursos Humanos,Administração Superior Secretaria e Sede,54.934.569,228.877.636,133.812,283.946.017,2015
Conjunto Hospitalar do Mandaqui,Coordenadoria de Serviços de Saúde,192.369.685,59.858.536,722.913,252.951.134,2015
DRS I Grande São Paulo,Coordenadoria de Regiões de Saúde,178.825.717,21.076.776,7.699.813,207.602.306,2015
Hospital das Clínicas de Botucatu,HC Botucatu,60.396.519,98.654.826,16.036.525,175.087.870,2015
Centro de Referência da Saúde da Mulher,Coordenadoria de Serviços de Saúde,137.384.205,33.379.355,994.204,171.757.765,2015
Conjunto Hospitalar de Sorocaba,Coordenadoria de Serviços de Saúde,98.429.191,59.970.905,1.469.597,159.869.693,2015
Instituto Adolfo Lutz,Coordenadoria de Controle de Doenças,111.057.348,22.987.489,2.295.391,136.340.228,2015
Instituto de Infectologia Emílio Ribas,Coordenadoria de Serviços de Saúde,100.154.164,31.055.700,295.106,131.504.970,2015
Hospital Ipiranga,Coordenadoria de Serviços de Saúde,96.547.967,32.831.191,229.794,129.608.952,2015
Coordenadoria de Gestão Orçamentária e Financeira,Administração Superior Secretaria e Sede,111.768.318,16.789.069,32.293,128.589.680,2015
Hospital Regional Sul,Coordenadoria de Serviços de Saúde,102.575.115,22.717.358,1.801.736,127.094.208,2015
Coordenadoria Geral de Administração,Administração Superior Secretaria e Sede,15.420.279,107.134.558,3.700.329,126.255.166,2015
Hospital Guilherme Álvaro,Coordenadoria de Serviços de Saúde,91.091.745,33.643.893,886.406,125.622.044,2015
Hospital Regional de Osasco,Coordenadoria de Serviços de Saúde,88.841.960,30.626.547,3.985.650,123.454.157,2015
Hospital Regional Dr. Osíris Florindo Coelho.,Coordenadoria de Serviços de Saúde,89.169.019,33.201.785,563.530,122.934.334,2015
Instituto Dante Pazzanese de Cardiologia,Coordenadoria de Serviços de Saúde,64.218.578,56.861.993,261.938,121.342.509,2015
Hospital Heliópolis,Coordenadoria de Serviços de Saúde,76.179.146,40.564.714,181.987,116.925.847,2015
Hospital Geral de Taipas,Coordenadoria de Serviços de Saúde,76.011.465,38.580.880,261.599,114.853.945,2015
Hospital Geral de São Mateus,Coordenadoria de Serviços de Saúde,93.138.846,20.836.563,334.309,114.309.718,2015
Hospital Geral de Vila Nova Cachoeirinha,Coordenadoria de Serviços de Saúde,78.884.719,31.776.348,130.180,110.791.247,2015
HOSP. GERAL DR.JOSE PANGELLA DE VILA PENTEADO,Coordenadoria de Serviços de Saúde,74.638.796,23.628.862,466.665,98.734.322,2015
DGAC,Coordenadoria de Serviços de Saúde,48.642.158,47.727.081,557.245,96.926.484,2015
Superintendência de Controle de Endemias - SUCEN,Sucen,78.391.472,14.279.812,2.374.326,95.045.609,2015
Hospital Geral de Guaianases.,Coordenadoria de Serviços de Saúde,57.164.309,32.401.868,406.148,89.972.325,2015
Instituto Butantan,Coordenadoria de Insumos Estratégicos,67.914.989,19.814.330,0,87.729.320,2015
Complexo Hospitalar do Juquery,Coordenadoria de Serviços de Saúde,67.167.313,17.959.835,624.530,85.751.678,2015
Complexo Hospitalar Padre Bento,Coordenadoria de Serviços de Saúde,69.339.748,13.036.382,267.737,82.643.867,2015
Fundação Pró-Sangue Hemocentro,Hemocentro,43.458.084,33.308.967,1.180.423,77.947.474,2015
CERAPC,Coordenadoria de Serviços de Saúde,56.302.572,19.194.269,379.155,75.875.996,2015
Centro de Referência e Treinamento DST/AIDS,Coordenadoria de Controle de Doenças,42.811.905,31.711.148,790.969,75.314.021,2015
Hospital Infantil Darcy Vargas,Coordenadoria de Serviços de Saúde,57.236.822,14.383.352,1.666.730,73.286.903,2015
Hospital - Assis,Coordenadoria de Serviços de Saúde,55.570.723,12.589.174,389.784,68.549.680,2015
Hospital e Maternidade Leonor M. Barros,Coordenadoria de Serviços de Saúde,55.706.284,11.748.982,158.654,67.613.919,2015
DRS XV São J. Rio Preto,Coordenadoria de Regiões de Saúde,30.753.827,36.487.070,5.500,67.246.396,2015
Centro de Vigilância Epidemiológica,Coordenadoria de Controle de Doenças,49.329.603,11.309.053,679.443,61.318.099,2015
Centro de Vigilância Sanitária,Coordenadoria de Controle de Doenças,58.327.112,2.934.054,0,61.261.167,2015
Hospital Infantil Cândido Fontoura,Coordenadoria de Serviços de Saúde,47.896.043,11.316.077,94.443,59.306.563,2015
DRS VI Bauru,Coordenadoria de Regiões de Saúde,33.989.739,22.785.200,11.183,56.786.121,2015
DRS VII Campinas,Coordenadoria de Regiões de Saúde,25.333.214,30.853.911,0,56.187.125,2015
Hospital e Maternidade Interlagos,Coordenadoria de Serviços de Saúde,42.562.200,12.638.317,136.509,55.337.026,2015
