UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
Gabinete CGCSS,Coordenadoria de Gestão de Contratos de Serviços de Saúde,4.268.170,4.549.039.493,0,4.553.307.663,2018
Hospital das Clínicas de São Paulo,HC São Paulo,801.439.651,1.052.192.471,64.103.885,1.917.736.007,2018
Gabinete do Coordenador - CAF,Coordenadoria de Assistência Farmacêutica,2.494.244,1.119.688.695,0,1.122.182.938,2018
Coordenadoria de Gestão Orçamentária e Financeira,Administração Superior Secretaria e Sede,290.229.558,567.122.945,85.884.090,943.236.593,2018
Gabinete do Secretário,Administração Superior Secretaria e Sede,597.391.356,1.766.059,0,599.157.416,2018
Hospital das Clínicas de Ribeirão Preto,HC Ribeirão Preto,362.145.399,176.449.463,19.254.704,557.849.567,2018
Coordenadoria Geral de Administração,Administração Superior Secretaria e Sede,14.597.032,192.154.805,152.045.188,358.797.025,2018
Coordenadoria de Recursos Humanos,Administração Superior Secretaria e Sede,117.398.605,216.154.143,25.223,333.577.970,2018
Fundação para o Remédio Popular - FURP,FURP,60.483.820,241.609.191,0,302.093.011,2018
BID,Administração Superior Secretaria e Sede,0,0,277.746.674,277.746.674,2018
Hospital das Clínicas de Botucatu,HC Botucatu,65.673.120,126.421.476,15.611.482,207.706.077,2018
Conjunto Hospitalar do Mandaqui,Coordenadoria de Serviços de Saúde,132.804.030,65.387.798,1.827.972,200.019.800,2018
DRS I Grande São Paulo,Coordenadoria de Regiões de Saúde,151.771.365,20.000.084,262.310,172.033.759,2018
Conjunto Hospitalar de Sorocaba,Coordenadoria de Serviços de Saúde,96.381.262,63.024.411,1.475.449,160.881.122,2018
Hospital Regional Sul,Coordenadoria de Serviços de Saúde,100.463.092,33.476.690,1.483.917,135.423.699,2018
Instituto Adolfo Lutz,Coordenadoria de Controle de Doenças,109.412.618,23.776.414,1.565.142,134.754.173,2018
Hospital Ipiranga,Coordenadoria de Serviços de Saúde,98.448.910,34.273.810,662.100,133.384.819,2018
Instituto de Infectologia Emílio Ribas,Coordenadoria de Serviços de Saúde,101.104.329,28.978.370,846.877,130.929.576,2018
Instituto Dante Pazzanese de Cardiologia,Coordenadoria de Serviços de Saúde,67.262.790,60.952.895,891.512,129.107.197,2018
Hospital Regional Dr. Osíris Florindo Coelho.,Coordenadoria de Serviços de Saúde,88.256.632,38.406.136,1.072.702,127.735.470,2018
Hospital Guilherme Álvaro,Coordenadoria de Serviços de Saúde,90.522.589,34.845.254,2.363.062,127.730.904,2018
Hospital Heliópolis,Coordenadoria de Serviços de Saúde,78.076.519,44.712.099,747.971,123.536.588,2018
Centro de Referência da Saúde da Mulher,Coordenadoria de Serviços de Saúde,82.282.124,36.148.844,1.693.407,120.124.375,2018
Hospital Geral de Vila Nova Cachoeirinha,Coordenadoria de Serviços de Saúde,79.781.226,33.857.258,634.165,114.272.649,2018
Hospital Regional de Osasco,Coordenadoria de Serviços de Saúde,84.772.636,28.738.793,88.607,113.600.036,2018
Hospital Geral de São Mateus,Coordenadoria de Serviços de Saúde,89.201.307,21.372.352,379.849,110.953.508,2018
Hospital Geral de Taipas,Coordenadoria de Serviços de Saúde,67.592.735,40.526.506,507.933,108.627.174,2018
Instituto Butantan,Coordenadoria de Insumos Estratégicos,63.355.353,43.057.986,367.065,106.780.403,2018
HOSP. GERAL DR.JOSE PANGELLA DE VILA PENTEADO,Coordenadoria de Serviços de Saúde,70.999.949,26.045.239,621.840,97.667.027,2018
Superintendência de Controle de Endemias - SUCEN,Sucen,78.234.166,12.378.006,912.216,91.524.388,2018
Hospital Geral de Guaianases.,Coordenadoria de Serviços de Saúde,52.589.902,37.553.398,121.323,90.264.623,2018
DGAC,Coordenadoria de Serviços de Saúde,43.844.156,42.131.869,390.611,86.366.636,2018
Complexo Hospitalar Padre Bento,Coordenadoria de Serviços de Saúde,67.300.894,18.017.049,353.274,85.671.217,2018
Centro de Referência e Treinamento DST/AIDS,Coordenadoria de Controle de Doenças,43.181.367,38.198.716,1.114.208,82.494.291,2018
CERAPC,Coordenadoria de Serviços de Saúde,60.704.942,20.567.680,606.265,81.878.887,2018
Fundação Pró-Sangue Hemocentro,Hemocentro,42.363.616,36.423.777,1.305.486,80.092.878,2018
Complexo Hospitalar do Juquery,Coordenadoria de Serviços de Saúde,56.359.967,17.330.471,310.997,74.001.435,2018
Hospital Infantil Darcy Vargas,Coordenadoria de Serviços de Saúde,56.060.097,14.642.608,295.485,70.998.190,2018
Hospital e Maternidade Leonor M. Barros,Coordenadoria de Serviços de Saúde,56.661.625,12.594.866,598.207,69.854.697,2018
Hospital - Assis,Coordenadoria de Serviços de Saúde,55.560.511,12.498.373,389.624,68.448.508,2018
DRS XV São J. Rio Preto,Coordenadoria de Regiões de Saúde,25.421.985,35.518.282,13.848,60.954.115,2018
Centro de Vigilância Sanitária,Coordenadoria de Controle de Doenças,55.919.007,3.674.382,163.787,59.757.176,2018
