UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
Gabinete CGCSS,Coordenadoria de Gestão de Contratos de Serviços de Saúde,1.353.859,2.063.233.415,0,2.064.587.274,2019
Hospital das Clínicas de São Paulo,HC São Paulo,233.809.675,467.586.455,12.078.100,713.474.230,2019
Hospital das Clínicas de Ribeirão Preto,HC Ribeirão Preto,120.151.985,63.472.875,47.011,183.671.870,2019
Coordenadoria de Gestão Orçamentária e Financeira,Administração Superior Secretaria e Sede,25.163.795,139.954.289,11.592,165.129.676,2019
Coordenadoria de Recursos Humanos,Administração Superior Secretaria e Sede,33.346.358,88.540.763,72.466,121.959.586,2019
Gabinete do Coordenador - CAF,Coordenadoria de Assistência Farmacêutica,799.990,119.744.648,0,120.544.638,2019
Gabinete do Secretário,Administração Superior Secretaria e Sede,110.077.941,480.057,0,110.557.997,2019
Fundação para o Remédio Popular - FURP,FURP,23.750.496,78.473.000,10.648,102.234.143,2019
Coordenadoria Geral de Administração,Administração Superior Secretaria e Sede,4.620.539,71.499.961,17.065.403,93.185.902,2019
Hospital das Clínicas de Botucatu,HC Botucatu,21.166.864,48.197.978,53.876,69.418.718,2019
Conjunto Hospitalar do Mandaqui,Coordenadoria de Serviços de Saúde,42.917.799,25.177.080,446.525,68.541.403,2019
DRS I Grande São Paulo,Coordenadoria de Regiões de Saúde,47.082.151,7.586.351,0,54.668.501,2019
Hospital Regional Sul,Coordenadoria de Serviços de Saúde,32.450.304,13.979.760,739.711,47.169.775,2019
Instituto de Infectologia Emílio Ribas,Coordenadoria de Serviços de Saúde,33.670.003,11.300.948,104.005,45.074.955,2019
Hospital Regional Dr. Osíris Florindo Coelho.,Coordenadoria de Serviços de Saúde,28.434.219,16.082.848,171.000,44.688.066,2019
Hospital Ipiranga,Coordenadoria de Serviços de Saúde,32.738.678,11.560.716,326.500,44.625.894,2019
Instituto Dante Pazzanese de Cardiologia,Coordenadoria de Serviços de Saúde,21.422.142,20.890.256,104.760,42.417.158,2019
Hospital Heliópolis,Coordenadoria de Serviços de Saúde,24.542.040,17.186.605,282.817,42.011.462,2019
