UGE,UO,Pessoal/Encargos Sociais,Custeio,Investimento,Total,ano
Gabinete CGCSS,Coordenadoria de Gestão de Contratos de Serviços de Saúde,2.819.011,3.264.681.756,556,3.267.501.322,2013
Hospital das Clínicas de São Paulo,HC São Paulo,663.341.234,472.054.967,97.146.343,1.232.542.544,2013
Gabinete do Secretário,Administração Superior Secretaria e Sede,578.931.438,287.665.853,136.886.045,1.003.483.336,2013
CCTIES - Gabinete do Coordenador,Coordenadoria de Insumos Estratégicos,2.373.923,777.794.985,0,780.168.909,2013
Hospital das Clínicas de Ribeirão Preto,HC Ribeirão Preto,283.743.485,140.852.302,38.733.616,463.329.403,2013
Coordenadoria de Recursos Humanos,Administração Superior Secretaria e Sede,32.441.422,189.799.027,2.982,222.243.431,2013
Coordenadoria de Gestão Orçamentária e Financeira,Administração Superior Secretaria e Sede,168.919.870,24.156,11.527.711,180.471.736,2013
Conjunto Hospitalar do Mandaqui,Coordenadoria de Serviços de Saúde,106.740.039,54.486.164,3.283.697,164.509.899,2013
DRS I Grande São Paulo,Coordenadoria de Regiões de Saúde,149.672.414,13.629.074,143.118,163.444.606,2013
Fundação para o Remédio Popular - FURP,FURP,51.363.098,98.274.067,4.018.484,153.655.648,2013
Conjunto Hospitalar de Sorocaba,Coordenadoria de Serviços de Saúde,80.162.747,49.084.605,5.447.932,134.695.284,2013
Instituto Adolfo Lutz,Coordenadoria de Controle de Doenças,89.716.520,25.502.666,7.571.425,122.790.610,2013
Instituto Dante Pazzanese de Cardiologia,Coordenadoria de Serviços de Saúde,46.476.440,49.052.890,9.206.038,104.735.368,2013
Instituto de Infectologia Emílio Ribas,Coordenadoria de Serviços de Saúde,73.602.870,27.544.377,1.532.987,102.680.235,2013
Hospital Regional Sul,Coordenadoria de Serviços de Saúde,81.479.713,16.928.504,3.228.222,101.636.439,2013
Hospital Regional de Osasco,Coordenadoria de Serviços de Saúde,72.499.928,26.013.764,2.365.792,100.879.484,2013
Hospital Guilherme Álvaro,Coordenadoria de Serviços de Saúde,68.475.277,27.861.307,3.133.663,99.470.247,2013
Hospital das Clínicas de Botucatu,HC Botucatu,11.785.430,62.067.289,25.579.065,99.431.784,2013
Hospital Ipiranga,Coordenadoria de Serviços de Saúde,68.299.048,25.510.189,2.601.242,96.410.479,2013
Hospital Heliópolis,Coordenadoria de Serviços de Saúde,58.928.420,34.461.438,913.389,94.303.248,2013
Hospital Geral de São Mateus,Coordenadoria de Serviços de Saúde,72.825.694,14.405.984,2.872.160,90.103.839,2013
Centro de Referência da Saúde da Mulher,Coordenadoria de Serviços de Saúde,59.054.327,28.505.798,1.348.487,88.908.612,2013
Hospital Geral de Vila Nova Cachoeirinha,Coordenadoria de Serviços de Saúde,62.392.703,23.664.574,1.190.865,87.248.141,2013
Hospital Regional Dr. Osíris Florindo Coelho.,Coordenadoria de Serviços de Saúde,68.424.528,16.398.061,1.910.963,86.733.552,2013
HOSP. GERAL DR.JOSE PANGELLA DE VILA PENTEADO,Coordenadoria de Serviços de Saúde,59.281.435,19.307.447,2.302.588,80.891.470,2013
DGAC,Coordenadoria de Serviços de Saúde,40.352.078,38.640.217,640.993,79.633.288,2013
Fundação Pró-Sangue Hemocentro,Hemocentro,45.035.271,30.330.755,2.376.574,77.742.599,2013
Hospital Geral de Taipas,Coordenadoria de Serviços de Saúde,59.909.057,15.211.922,555.374,75.676.353,2013
Complexo Hospitalar do Juquery,Coordenadoria de Serviços de Saúde,61.538.136,13.170.198,324.249,75.032.583,2013
Superintendência de Controle de Endemias - SUCEN,Sucen,57.785.167,12.374.674,1.233.710,71.393.550,2013
Complexo Hospitalar Padre Bento,Coordenadoria de Serviços de Saúde,52.523.509,12.254.238,2.501.790,67.279.537,2013
Hospital Geral de Guaianases.,Coordenadoria de Serviços de Saúde,50.121.457,14.336.343,1.513.875,65.971.674,2013
Instituto Butantan,Coordenadoria de Insumos Estratégicos,57.730.351,4.083.454,1.131.340,62.945.145,2013
Centro de Referência e Treinamento DST/AIDS,Coordenadoria de Controle de Doenças,34.239.672,23.728.634,1.241.820,59.210.126,2013
CERAPC,Coordenadoria de Serviços de Saúde,42.107.457,14.827.641,2.270.052,59.205.151,2013
Coordenadoria Geral de Administração,Administração Superior Secretaria e Sede,16.431.165,31.725.081,7.665.830,55.822.076,2013
Hospital Infantil Darcy Vargas,Coordenadoria de Serviços de Saúde,42.144.591,12.364.279,543.263,55.052.134,2013
Hospital e Maternidade Leonor M. Barros,Coordenadoria de Serviços de Saúde,43.347.234,10.291.725,892.814,54.531.773,2013
Hospital - Assis,Coordenadoria de Serviços de Saúde,40.738.813,10.778.594,2.542.701,54.060.108,2013
Centro de Vigilância Epidemiológica,Coordenadoria de Controle de Doenças,36.215.007,16.071.660,918.630,53.205.297,2013
Centro de Vigilância Sanitária,Coordenadoria de Controle de Doenças,47.393.595,4.278.100,349.304,52.020.999,2013
DRS XV São J. Rio Preto,Coordenadoria de Regiões de Saúde,25.315.713,24.879.782,93.055,50.288.550,2013
Hospital Infantil Cândido Fontoura,Coordenadoria de Serviços de Saúde,37.653.630,9.073.541,1.941.225,48.668.396,2013
DRS VI Bauru,Coordenadoria de Regiões de Saúde,28.010.791,17.622.612,208.937,45.842.340,2013
DRS VII Campinas,Coordenadoria de Regiões de Saúde,20.419.746,24.903.835,250.090,45.573.672,2013
Hospital e Maternidade Interlagos,Coordenadoria de Serviços de Saúde,33.334.939,9.648.681,697.741,43.681.361,2013
DRS IX Marilia,Coordenadoria de Regiões de Saúde,19.837.005,15.764.100,82.426,35.683.532,2013
DRS XIII Ribeirão Preto,Coordenadoria de Regiões de Saúde,15.366.146,18.467.998,91.955,33.926.099,2013
Gabinete do Coordenador - CSS,Coordenadoria de Serviços de Saúde,13.377.330,3.842.218,15.734.992,32.954.540,2013
DRS XVI Sorocaba,Coordenadoria de Regiões de Saúde,15.305.616,16.862.214,92.990,32.260.819,2013
DRS IV B.Santista,Coordenadoria de Regiões de Saúde,11.558.488,20.011.522,127.040,31.697.051,2013
Hospital Geral de Promissão,Coordenadoria de Serviços de Saúde,19.334.687,6.312.987,3.070.573,28.718.247,2013
Centro de Reabilitação de Casa Branca,Coordenadoria de Serviços de Saúde,22.577.042,4.771.959,801.449,28.150.450,2013
CAIS - Clemente Ferreira,Coordenadoria de Serviços de Saúde,22.357.640,4.127.437,795.775,27.280.852,2013
Instituto Lauro de Souza Lima,Coordenadoria de Serviços de Saúde,16.780.717,8.987.151,483.031,26.250.899,2013
"Hospital Santa Tereza, Ribeirão Preto",Coordenadoria de Serviços de Saúde,19.088.380,5.011.353,1.469.521,25.569.254,2013
DRS XVII Taubaté,Coordenadoria de Regiões de Saúde,17.736.338,7.597.247,32.366,25.365.951,2013
CAIS - Santa Rita do Passa Quatro,Coordenadoria de Serviços de Saúde,18.672.651,5.484.873,1.047.105,25.204.629,2013
Hospital Estadual Dr. Oswaldo B. Faria,Coordenadoria de Serviços de Saúde,18.477.079,4.294.597,481.509,23.253.185,2013
DRS XI Presidente Prudente,Coordenadoria de Regiões de Saúde,11.811.923,10.605.684,131.018,22.548.625,2013
DRS X Piracicaba,Coordenadoria de Regiões de Saúde,10.253.492,11.834.799,47.214,22.135.505,2013
DRS II Araçatuba,Coordenadoria de Regiões de Saúde,11.709.338,9.842.575,185.390,21.737.303,2013
CAISM - Phillipe Pinel,Coordenadoria de Serviços de Saúde,16.964.248,3.923.865,671.800,21.559.913,2013
Hospital Dr. Francisco Ribeiro Arantes,Coordenadoria de Serviços de Saúde,14.092.305,6.944.839,433.496,21.470.640,2013
Hospital Estadual de Presidente Prudente,Coordenadoria de Serviços de Saúde,15.353.662,3.740.206,1.375.827,20.469.695,2013
