Nome OSS,Endereço,CNPJ,Data de Qualificação,Unidades,year
Associação Congregação de Santa Catarina,"Av. Paulista, 200",60.922.168/0001-86,26/06/1998,Visualizar,2009
Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,"Av. Gentil Walter Ribeiro, 360",53.524.534/0001-83,16/11/2017,Visualizar,2009
Associação Lar São Francisco de Assis na Providência de Deus,"Rodovia Vicinal São Joaquim Telles Filho, km 3",53.221.225/0001-40,04/09/2007,Visualizar,2009
Associação Paulista para o Desenvolvimento da Medicina - SPDM,"Rua Napoleão de Barros, 715",61.699.597/0001-92,08/10/1998,Visualizar,2009
Banco de Olhos de Sorocaba,"Rua Nebeck Shiroma, 210",50.795.566/0001-25,03/10/2008,Visualizar,2009
Cruzada Bandeirante São Camilo Assistência Médico Social,"Rodovia Raposo Tavares, km 30,5",60.598.448/0005-04,02/12/2008,Visualizar,2009
Fundação do ABC,"Rua Principe de Gales, 821",57.571.275/0001-00,08/12/2006,Visualizar,2009
Fundação Instituto de Pesquisa e Estudo de Diagnóstico por Imagem - FIDI,"Avenida Paulista, 1294 - 21º andar",55.401.178/0001-36,02/09/2009,Visualizar,2009
Instituto de Responsabilidade Social Sírio Libanês,"Rua Peixoto Gomide, 316",09.538.688/0001-32,01/12/2009,Visualizar,2009
Irmandade da Santa Casa de Misericórdia de São Paulo,"Rua Cesário Mota Junior, 112",62.779.145/0001-90,14/12/1999,Visualizar,2009
Santa Casa de Andradina,"Av. Guanabara, 730",43.535.210/0001-97,12/02/2009,Visualizar,2009
Santa Casa de Misericórdia de Araçatuba,"Rua Floriano Peixoto, 896",43.751.502/0001-67,31/12/2008,Visualizar,2009
Santa Casa de Misericórdia de Ituverava,"Praça Monsenhor João Rulli, 729",50.304.377/0001-02,30/12/2008,Visualizar,2009
Santa Casa de Misericórdia de Votuporanga,"Rua Minas Gerais, 3051",72.957.814/0001-20,31/08/2007,Visualizar,2009
Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,"Av. Francisco Matarazzo, 74",61.687.356/0001-30,19/10/1998,Visualizar,2009
