Nome OSS,Endereço,CNPJ,Data de Qualificação,Unidades,year
Associação Congregação de Santa Catarina,"Av. Paulista, 200",60.922.168/0001-86,26/06/1998,Visualizar,2008
Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,"Av. Gentil Walter Ribeiro, 360",53.524.534/0001-83,16/11/2017,Visualizar,2008
Associação Fundo De Incentivo à Psicofarmacologia - AFIP,"Rua Marselhesa, 500",47.673.793/0004-16,22/06/2010,Visualizar,2008
Associação Lar São Francisco de Assis na Providência de Deus,"Rodovia Vicinal São Joaquim Telles Filho, km 3",53.221.225/0001-40,04/09/2007,Visualizar,2008
Associação Paulista para o Desenvolvimento da Medicina - SPDM,"Rua Napoleão de Barros, 715",61.699.597/0001-92,08/10/1998,Visualizar,2008
Centro de Estudos e Pesquisas “Dr. João Amorim” – CEJAM,"Rua Humaitá, 349 - Sobreloja",66.518.267/0001-83,15/11/2018,Visualizar,2008
Cruzada Bandeirante São Camilo Assistência Médico Social,"Rodovia Raposo Tavares, km 30,5",60.598.448/0005-04,02/12/2008,Visualizar,2008
Fundação do ABC,"Rua Principe de Gales, 821",57.571.275/0001-00,08/12/2006,Visualizar,2008
Fundação Faculdade de Medicina,"Avenida Rebouças, 381",56.577.059/0001-00,12/12/2008,Visualizar,2008
Instituto Sócrates Guanaes - ISG,"Av. Brigadeiro Luis Antônio, 3421",03.969.808/0001-70,27/12/2016,Visualizar,2008
Irmandade da Santa Casa de Misericórdia de São Paulo,"Rua Cesário Mota Junior, 112",62.779.145/0001-90,14/12/1999,Visualizar,2008
Santa Casa de Misericórdia de Votuporanga,"Rua Minas Gerais, 3051",72.957.814/0001-20,31/08/2007,Visualizar,2008
Santa Casa de Misericórdia e Maternidade Dracena,"Rua Virgilio Pagnozzi, 833",47.617.584/0001-02,24/06/2008,Visualizar,2008
Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,"Av. Francisco Matarazzo, 74",61.687.356/0001-30,19/10/1998,Visualizar,2008
Sociedade Assistencial Bandeirantes,"Rua Galvão Bueno, 257",46.543.781/0005-95,12/09/2003,Visualizar,2008
