Nome OSS,Endereço,CNPJ,Data de Qualificação,Unidades,year
Associação Congregação de Santa Catarina,"Av. Paulista, 200",60.922.168/0001-86,26/06/1998,Visualizar,2020
Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,"Av. Gentil Walter Ribeiro, 360",53.524.534/0001-83,16/11/2017,Visualizar,2020
Associação Fundo De Incentivo à Psicofarmacologia - AFIP,"Rua Marselhesa, 500",47.673.793/0004-16,22/06/2010,Visualizar,2020
Associação Lar São Francisco de Assis na Providência de Deus,"Rodovia Vicinal São Joaquim Telles Filho, km 3",53.221.225/0001-40,04/09/2007,Visualizar,2020
Associação Paulista para o Desenvolvimento da Medicina - SPDM,"Rua Napoleão de Barros, 715",61.699.597/0001-92,08/10/1998,Visualizar,2020
Banco de Olhos de Sorocaba,"Rua Nebeck Shiroma, 210",50.795.566/0001-25,03/10/2008,Visualizar,2020
Casa de Saúde Santa Marcelina,"Rua Santa Marcelina, 177",60.742.616/0001-60,27/06/1998,Visualizar,2020
Centro de Estudos e Pesquisas “Dr. João Amorim” – CEJAM,"Rua Humaitá, 349 - Sobreloja",66.518.267/0001-83,15/11/2018,Visualizar,2020
Cruzada Bandeirante São Camilo Assistência Médico Social,"Rodovia Raposo Tavares, km 30,5",60.598.448/0005-04,02/12/2008,Visualizar,2020
Fundação de Apoio ao Ensino Pesquisa e Assistência HCFMRPUSP - FAEPA,"Campus Universitário, s/n",57.722.118/0001-40,23/03/2011,Visualizar,2020
Fundação do ABC,"Rua Principe de Gales, 821",57.571.275/0001-00,08/12/2006,Visualizar,2020
Fundação Faculdade de Medicina,"Avenida Rebouças, 381",56.577.059/0001-00,12/12/2008,Visualizar,2020
Fundação Instituto de Pesquisa e Estudo de Diagnóstico por Imagem - FIDI,"Avenida Paulista, 1294 - 21º andar",55.401.178/0001-36,02/09/2009,Visualizar,2020
Fundação Padre Albino,"Rua dos Estudantes, 225",47.074.851/0001-42,28/10/2009,Visualizar,2020
Fundação para o Desenvolvimento Médico-Hospitalar - FAMESP,"Rua João Butignolli, s/n",46.230.439/0001-01,28/07/2011,Visualizar,2020
Fundação PIO XII,"Rua Vinte, 221",49.150.352/0001-12,02/06/2009,Visualizar,2020
Fundação Santa Casa de Misericórdia de Franca,"Praça Dom Pedro II, 1826",47.969.134/0001-89,08/07/2009,Visualizar,2020
Instituto de Responsabilidade Social Sírio Libanês,"Rua Peixoto Gomide, 316",09.538.688/0001-32,01/12/2009,Visualizar,2020
Instituto Sócrates Guanaes - ISG,"Av. Brigadeiro Luis Antônio, 3421",03.969.808/0001-70,27/12/2016,Visualizar,2020
Irmandade da Santa Casa de Misericórdia de Marília,"Av. Vicente Ferreira, 828",52.049.244/0001-62,01/12/2011,Visualizar,2020
Irmandade da Santa Casa de Misericórdia de São Paulo,"Rua Cesário Mota Junior, 112",62.779.145/0001-90,14/12/1999,Visualizar,2020
Santa Casa de Andradina,"Av. Guanabara, 730",43.535.210/0001-97,12/02/2009,Visualizar,2020
Santa Casa de Misericórdia de Araçatuba,"Rua Floriano Peixoto, 896",43.751.502/0001-67,31/12/2008,Visualizar,2020
Santa Casa de Misericórdia de Assis,"Praça Dr Simphronio A Santos, 166",44.364.826/0001-05,04/01/2012,Visualizar,2020
Santa Casa de Misericórdia de Fernandopolis,"Av. Afonso Cáfaro, 2630",47.844.287/0001-08,17/04/2009,Visualizar,2020
Santa Casa de Misericórdia de Itapeva,"Rua Santo Dumont, 433",49.797.293/0001-79,07/11/2008,Visualizar,2020
Santa Casa de Misericórdia de Ituverava,"Praça Monsenhor João Rulli, 729",50.304.377/0001-02,30/12/2008,Visualizar,2020
Santa Casa de Misericórdia de Votuporanga,"Rua Minas Gerais, 3051",72.957.814/0001-20,31/08/2007,Visualizar,2020
Santa Casa de Misericórdia e Maternidade Dracena,"Rua Virgilio Pagnozzi, 833",47.617.584/0001-02,24/06/2008,Visualizar,2020
Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,"Av. Francisco Matarazzo, 74",61.687.356/0001-30,19/10/1998,Visualizar,2020
Sociedade Assistencial Bandeirantes,"Rua Galvão Bueno, 257",46.543.781/0005-95,12/09/2003,Visualizar,2020
