CNES,Nome Unidade,Nome OSS,Detalhes,year
2746220.0,Centro de Atenção Integrada à Saúde Mental De Franco da Rocha,Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2010
2746220.0,Centro de Atenção Integrada à Saúde Mental De Franco da Rocha,Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2010
2092107.0,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha",Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2010
2092107.0,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha",Centro de Estudos e Pesquisas “Dr. João Amorim” – CEJAM,Visualizar,2010
2092107.0,"Hospital Estadual ""Dr. Albano da Franca Rocha Sobrinho"" de Franco da Rocha",Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2010
5451612.0,Instituto de Reabilitação Lucy Montoro,Fundação Faculdade de Medicina,Visualizar,2010
6289304.0,Ambulatório Médico de Especialidades de Cirurgia Ambulatorial Barretos,Fundação PIO XII,Visualizar,2010
6959636.0,Ambulatório Médico de Especialidades de Fernandópolis,Santa Casa de Misericórdia de Fernandopolis,Visualizar,2010
6959636.0,Ambulatório Médico de Especialidades de Fernandópolis,Santa Casa de Andradina,Visualizar,2010
6818196.0,Ambulatório Médico de Especialidades de Promissão,Santa Casa de Misericórdia de Araçatuba,Visualizar,2010
6818196.0,Ambulatório Médico de Especialidades de Promissão,Santa Casa de Andradina,Visualizar,2010
7062672.0,Ambulatório Médico de Especialidades de Taboão da Serra,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2010
6669727.0,Ambulatório Médico de Especialidades Dr. Cirilo Barcelos,Fundação Santa Casa de Misericórdia de Franca,Visualizar,2010
6655416.0,Ambulatório Médico de Especialidades Dr. Newton da Costa Brandão,Fundação do ABC,Visualizar,2010
6604862.0,Ambulatório Médico de Especialidades Edison Oliveira Martho,Santa Casa de Andradina,Visualizar,2010
6604862.0,Ambulatório Médico de Especialidades Edison Oliveira Martho,Santa Casa de Misericórdia de Itapeva,Visualizar,2010
6432530.0,Ambulatório Médico de Especialidades Interlagos,Instituto de Responsabilidade Social Sírio Libanês,Visualizar,2010
6432530.0,Ambulatório Médico de Especialidades Interlagos,Associação Congregação de Santa Catarina,Visualizar,2010
6657516.0,Ambulatório Médico de Especialidades Olavo Silva Souza,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,2010
6657516.0,Ambulatório Médico de Especialidades Olavo Silva Souza,Centro de Estudos e Pesquisas “Dr. João Amorim” – CEJAM,Visualizar,2010
3444538.0,Centro de Referência do Idoso Zona Norte,Associação Congregação de Santa Catarina,Visualizar,2010
7019823.0,Unidade de Reabilitação Lucy Montoro em Fernandópolis,Santa Casa de Misericórdia de Fernandopolis,Visualizar,2010
7019823.0,Unidade de Reabilitação Lucy Montoro em Fernandópolis,Santa Casa de Andradina,Visualizar,2010
3996344.0,Centro Estadual de Análises Clínicas da Zona Norte,Associação Fundo De Incentivo à Psicofarmacologia - AFIP,Visualizar,2010
,Centro Estadual de Armazenamento e Distribuição de Insumos de Saúde,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2010
6926207.0,Serviço Estadual de Diagnóstico por Imagem II,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2010
6927726.0,Serviço Estadual de Diagnóstico por Imagem III,Fundação Instituto de Pesquisa e Estudo de Diagnóstico por Imagem - FIDI,Visualizar,2010
