CNES,Nome Unidade,Nome OSS,Detalhes,year
3028399,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato",Centro de Estudos e Pesquisas “Dr. João Amorim” – CEJAM,Visualizar,2008
3028399,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato",Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2008
3028399,"Hospital Estadual ""Professor Carlos da Silva Lacaz"" de Francisco Morato",Fundação do ABC,Visualizar,2008
2091585,"Hospital Estadual ""Valdemar Sunhiga"" de Sapopemba",Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2008
6236596,Hospital Estadual João Paulo II,Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2008
2792168,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba",Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,2008
2792168,"Hospital Geral ""Dr. Francisco de Moura Coutinho"" de Carapicuiba",Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,Visualizar,2008
2077426,Hospital Geral Henrique Altimeyer de Vila Alpina,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2008
6123740,Instituto do Câncer do Estado de São Paulo,Fundação Faculdade de Medicina,Visualizar,2008
6233848,Ambulatório Médico de Especialidades Caraguatatuba,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2008
6233848,Ambulatório Médico de Especialidades Caraguatatuba,Sociedade Assistencial Bandeirantes,Visualizar,2008
6258484,Ambulatório Médico de Especialidades de Praia Grande,Fundação do ABC,Visualizar,2008
6335497,Ambulatório Médico de Especialidades Dr. Francisco de Assis Martucci,Santa Casa de Misericórdia e Maternidade Dracena,Visualizar,2008
6479200,Ambulatório Médico de Especialidades Dr. Luiz Roberto Barradas Barata,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2008
5967945,Ambulatório Médico de Especialidades Santa Fé do Sul,Santa Casa de Misericórdia de Votuporanga,Visualizar,2008
6166598,Ambulatório Médico de Especialidades Santos,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,2008
6166598,Ambulatório Médico de Especialidades Santos,Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,Visualizar,2008
6294049,Ambulatório Médico de Especialidades São José dos Campos,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2008
6294049,Ambulatório Médico de Especialidades São José dos Campos,Instituto Sócrates Guanaes - ISG,Visualizar,2008
6056148,Ambulatório Médico de Especialidades São José Rio Preto,Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2008
6351662,Centro Estadual de Análises Clínicas da Zona Sul,Associação Congregação de Santa Catarina,Visualizar,2008
6351662,Centro Estadual de Análises Clínicas da Zona Sul,Associação Fundo De Incentivo à Psicofarmacologia - AFIP,Visualizar,2008
