CNES,Nome Unidade,Nome OSS,Detalhes,year
3001466,Centro Hospitalar do Sistema Penitenciário,Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2009
3001466,Centro Hospitalar do Sistema Penitenciário,Fundação do ABC,Visualizar,2009
2755130,"Hospital Regional ""Domingos Leonardo Ceravolo"" de Presidente Prudente",Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2009
2088576,Hospital de Transplantes do Estado de São Paulo Dr. Euryclides de Jesus Zerbini,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2009
2079720,Pólo de Atenção Intensiva em Saúde Mental da Baixada Santista - PAI Baixada Santista,Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,Visualizar,2009
2079720,Pólo de Atenção Intensiva em Saúde Mental da Baixada Santista - PAI Baixada Santista,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,2009
2069008,Ambulatório de Especialidades Dr. Geraldo de Paulo Bourroul,Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2009
2069008,Ambulatório de Especialidades Dr. Geraldo de Paulo Bourroul,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2009
6365213,Ambulatório Médico de Especialidades Avelino Fernandes,Santa Casa de Misericórdia de Votuporanga,Visualizar,2009
6199879,Ambulatório Médico de Especialidades Carapicuíba,Associação da Irmandade da Santa Casa de Misericórdia de Pacaembu,Visualizar,2009
6199879,Ambulatório Médico de Especialidades Carapicuíba,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,2009
7033702,Ambulatório Médico de Especialidades Comendador Takayuki Maeda,Santa Casa de Misericórdia de Ituverava,Visualizar,2009
2091542,Ambulatório Médico de Especialidades de Maria Zélia,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2009
6578578,Ambulatório Médico de Especialidades de Psiquiatria Dra. Jandira Masur,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2009
6476058,Ambulatório Médico de Especialidades Dr. Antonio Carlos Fontoura da Silva,Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2009
6568971,Ambulatório Médico de Especialidades Dr. Edmon Alexandre Salomão,Santa Casa de Andradina,Visualizar,2009
6572367,Ambulatório Médico de Especialidades Dr. Oscar Gurjão Cotrim,Santa Casa de Misericórdia de Araçatuba,Visualizar,2009
6572367,Ambulatório Médico de Especialidades Dr. Oscar Gurjão Cotrim,Santa Casa de Andradina,Visualizar,2009
6607179,Ambulatório Médico de Especialidades Durval Mantovaninni,Banco de Olhos de Sorocaba,Visualizar,2009
6607179,Ambulatório Médico de Especialidades Durval Mantovaninni,Associação Lar São Francisco de Assis na Providência de Deus,Visualizar,2009
6432530,Ambulatório Médico de Especialidades Interlagos,Instituto de Responsabilidade Social Sírio Libanês,Visualizar,2009
6432530,Ambulatório Médico de Especialidades Interlagos,Associação Congregação de Santa Catarina,Visualizar,2009
6546463,Ambulatório Médico de Especialidades Itapevi,Associação Congregação de Santa Catarina,Visualizar,2009
6546463,Ambulatório Médico de Especialidades Itapevi,Fundação do ABC,Visualizar,2009
6423086,Ambulatório Médico de Especialidades Jardim dos Prados,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,2009
6423086,Ambulatório Médico de Especialidades Jardim dos Prados,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2009
6423086,Ambulatório Médico de Especialidades Jardim dos Prados,Associação Congregação de Santa Catarina,Visualizar,2009
6932355,Serviço Estadual de Diagnóstico por Imagem I,Fundação Instituto de Pesquisa e Estudo de Diagnóstico por Imagem - FIDI,Visualizar,2009
6932355,Serviço Estadual de Diagnóstico por Imagem I,Associação Congregação de Santa Catarina,Visualizar,2009
712516,Central de Regulação de Oferta de Serviços de Saúde,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2009
