CNES,Nome Unidade,Nome OSS,Detalhes,year
2077671,Hospital Estadual do Grajaú Professor Liberato John Alphonse Di Dio,Instituto de Responsabilidade Social Sírio Libanês,Visualizar,2011
2080338,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""",Irmandade da Santa Casa de Misericórdia de São Paulo,Visualizar,2011
2080338,"Hospital Geral de Guarulhos ""Professor Waldemar de Carvalho Pinto Filho""",Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2011
2792176,Hospital Geral de Itapecerica da Serra,Serviço Social da Construção Civil do Estado de São Paulo - SECONCI,Visualizar,2011
2078104,Hospital Geral de Itapeví,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,2011
2078562,Hospital Geral de Itaquaquecetuba,Casa de Saúde Santa Marcelina,Visualizar,2011
2066092,Hospital Geral de Pedreira,Associação Congregação de Santa Catarina,Visualizar,2011
2066092,Hospital Geral de Pedreira,Cruzada Bandeirante São Camilo Assistência Médico Social,Visualizar,2011
2066092,Hospital Geral de Pedreira,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2011
2077620,Hospital Geral Santa Marcelina do Itaim Paulista,Casa de Saúde Santa Marcelina,Visualizar,2011
7049730,Ambulatório Médico de Especialidades de Catanduva,Fundação Padre Albino,Visualizar,2011
7021801,Ambulatório Médico de Especialidades de Mogi das Cruzes,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2011
6752233,Ambulatório Médico de Especialidades Geral de Barretos,Fundação PIO XII,Visualizar,2011
6432530,Ambulatório Médico de Especialidades Interlagos,Instituto de Responsabilidade Social Sírio Libanês,Visualizar,2011
6432530,Ambulatório Médico de Especialidades Interlagos,Associação Congregação de Santa Catarina,Visualizar,2011
6956718,Ambulatório Médico de Especialidades Mauá,Fundação do ABC,Visualizar,2011
6889549,Centro de Medicina de Reabilitação Lucy Montoro de São José dos Campos,Associação Paulista para o Desenvolvimento da Medicina - SPDM,Visualizar,2011
