OSS,Gerenciadora atual,Contratado,Pago,ano
Hospital Santo André,Fundação ABC,,1071.0,2020
Hospital Guarulhos,SPDM,,973.0,2020
Hospital Luzia de Pinho Melo,SPDM,,948.0,2020
Hospital Presidente Prudente,Lar São Francisco,,928.0,2020
Hospital Bauru,FAMESP,,924.0,2020
Hospital Brigadeiro,SPDM,,840.0,2020
Hospital Grajau,Sirío Libanês,,790.0,2020
Hospital Pedreira,SPDM,,778.0,2020
Hospital Pirajussara,SPDM,,754.0,2020
Conjunto Hospitalar de Sorocaba,SECONCI - SEDE,,730.0,2020
Hospital Vila Alpina,SECONCI,,718.0,2020
Hospital Itaquaquecetuba,Casa de Saúde Sta. Marcelina,,697.0,2020
Hospital Itaim Paulista,Casa de Saúde Sta. Marcelina,,694.0,2020
Hospital Local Sapopemba,SECONCI,,676.0,2020
Hospital Itapecerica da Serra,SECONCI,,664.0,2020
Hospital Sumaré,UNICAMP,,664.0,2020
Hospital Carapicuiba,Santa Casa de Misericórdia de Pacaembu,,642.0,2020
Hospital Itapevi,Cruzada Bandeirante São Camilo,,640.0,2020
Hospital Diadema,SPDM,,636.0,2020
HOSP. SOROCABA,SPDM,,628.0,2020
Hospital Base de Bauru,FAMESP,,586.0,2020
HOSP. SÃO JOSÉ DOS CAMPOS,Instituto Socrates Guanaes - ISG,,566.0,2020
Hospital Cotia,SECONCI,,514.0,2020
Hospital Itanhaem,Instituto Socrates Guanaes - ISG,,502.0,2020
Hospital Vale do Ribeira,CONSAUDE,,480.0,2020
Hospital Franco da Rocha,Lar São Francisco,,464.0,2020
SEDI II,SECONCI,,424.0,2020
CROSS,SECONCI,,420.0,2020
HOSPITAL DE REGIONAL DE REGISTRO,Instituto Socrates Guanaes - ISG,,406.0,2020
SEDI III,FIDI,,379.0,2020
Hospital Francisco Morato,CENTRO DE ESTUDOS E PESQUISA DR JOÃO AMORIM,,358.0,2020
Hospital Vale do Paraiba,SOCIEDADE SÃO CAMILO,,347.0,2020
Hospital Americo Brasiliense,FAEPA,,336.0,2020
Hospital Jundiaí,Sirío Libanês,,312.0,2020
SEDI I,FIDI,,307.0,2020
AME Heliopolis,SECONCI,,280.0,2020
Hospital Penitenciario,Fundação ABC,,264.0,2020
HOSP. PIRACICABA,UNICAMP,,264.0,2020
CEAC Zona Norte,AFIP - Produção,,259.0,2020
Hospital de Serrana,FAEPA,,252.0,2020
AME Maria Zelia,SPDM,,238.0,2020
CEAC Zona Sul,AFIP - Produção,,218.0,2020
Instituto Lucy Montouro,Fundação Faculdade de Medicina,,204.0,2020
HOSPITAL LITORAL NORTE,INST. SOCRATES GUANAES,,194.0,2020
Maternidade Santa Isabel,FAMESP,,192.0,2020
CEAC Zona Leste,SPDM,,189.0,2020
Hospital Ribeirão Preto,FAEPA,,180.0,2020
Hospital João Paulo II,Lar São Francisco,,164.0,2020
CRSM de Ribeirão Preto,FAEPA,,162.0,2020
AME São Jose do Rio Preto,Lar São Francisco,,144.0,2020
CEADIS,SECONCI,,132.0,2020
Hospital Porto Primavera,Lar São Francisco,,116.0,2020
AME Votuporanga,Santa Casa - Votuporanga,,114.0,2020
AME Presidente Prudente,Lar São Francisco,,114.0,2020
AME Bourroul,SECONCI,,109.0,2020
Instituto Emilio Ribas II,Fundação ABC,,108.0,2020
AME CAMPINAS,Santa Casa - Franca,,104.0,2020
AME Santos,Santa Casa de Misericórdia de Pacaembu,,102.0,2020
AME São Jose dos Campos,Instituto Socrates Guanaes - ISG,,102.0,2020
AME Caraguatatuba,SECONCI,,102.0,2020
AME Franca,Santa Casa - Franca,,96.0,2020
AME Araçatuba,Santa Casa - Andradina,,96.0,2020
AME Atibaia,Lar São Francisco,,96.0,2020
AME Praia Grande,Fundação ABC,,96.0,2020
AME Santo André,Fundação ABC,,94.0,2020
AME Dracena,Santa Casa - Dracena,,90.0,2020
AME Sorocaba,Santa Casa de Misericórdia de Pacaembu,,90.0,2020
AME Jardim dos Prados,SPDM SEDE,,90.0,2020
AME Lorena,SECONCI,,84.0,2020
AME Andradina,Santa Casa - Andradina,,84.0,2020
CRI Zona Norte,Associação Santa Catarina,,84.0,2020
AME Interlagos,Sirío Libanês,,78.0,2020
AME Pariquera-Açú,INST. SOCRATES GUANAES,,78.0,2020
AME Itapevi,Fundação ABC,,78.0,2020
AME Carapicuiba,Santa Casa de Misericórdia de Pacaembu,,78.0,2020
AME Ourinhos,Santa Casa - Assis,,74.0,2020
AME Jundiai,Cruzada Bandeirante São Camilo,,72.0,2020
AME Itapetininga,FAMESP,,72.0,2020
AME Bauru,FAMESP,,72.0,2020
AME Rio Claro,UNICAMP,,72.0,2020
CAISM Franco da Rocha,Lar São Francisco,,72.0,2020
AME Tupã,FAMESP,,72.0,2020
Pai Zona Norte,SPDM,,72.0,2020
AME SÃO VICENTE,SECONCI,,70.0,2020
AME TAQUARITINGA,Santa Casa - Franca,,66.0,2020
AME Vila Maria,SPDM,,66.0,2020
Helvetia,SPDM,,66.0,2020
AME Limeira,UNICAMP,,66.0,2020
AME Mogi-Guaçu,UNICAMP,,66.0,2020
AME Barretos Geral,Fundação PIO XII,,60.0,2020
AME Assis,Santa Casa - Assis,,60.0,2020
AME Mauá,Fundação ABC,,60.0,2020
AME Mogi das Cruzes,SPDM,,60.0,2020
AME Jales,Santa Casa - Votuporanga,,60.0,2020
AME Taboão da Serra,SPDM,,60.0,2020
AME Promissão,Santa Casa - Andradina,,60.0,2020
Ame Botucatu,Santa Casa - Andradina,,60.0,2020
AME Amparo,UNICAMP,,60.0,2020
AME Santa Bárbara d`Oeste,UNICAMP,,60.0,2020
AME Casa Branca,Fundação Civil Casa Misericórdia de Franca,,54.0,2020
AME Idoso Oeste,SPDM,,54.0,2020
AME São João da Boa Vista,UNICAMP,,54.0,2020
Rede L. Montoro S. J. Rio Preto,FUNFARME,,54.0,2020
AME Piracicaba,UNICAMP,,48.0,2020
AME Barretos (CIRURGICO),Fundação PIO XII,,48.0,2020
AME Catanduva,Fundação Padre Albino,,48.0,2020
AME Santa Fé do Sul,Santa Casa - Votuporanga,,48.0,2020
AME Idoso Sudeste,SPDM,,48.0,2020
AME SÃO CARLOS,SANTA CASA - MARÍLIA,,48.0,2020
AME Itú,CENTRO DE ESTUDOS E PESQUISA DR JOÃO AMORIM,,45.0,2020
Pai Baixada Santista,Santa Casa de Misericórdia de Pacaembu,,42.0,2020
Rede L. Montoro São J. Campos,SPDM,,42.0,2020
AME Ituverava,Santa Casa - Ituverava,,42.0,2020
Rede L. Montoro Mogi Mirm,Sirío Libanês,,36.0,2020
REDE LUCY MONTORO DE DIADEMA,Fundação ABC,,33.0,2020
AME Itapeva,Santa Casa - Andradina,,30.0,2020
Rede L. Montoro Santos,Santa Casa de Misericórdia de Pacaembu,,30.0,2020
AME Itapeva,Santa Casa - Itapeva,,25.0,2020
