OSS,Gerenciadora atual,Contratado,Pago,ano
Hospital Santo André,Fundação ABC,,2093.0,2019
Hospital Guarulhos,SPDM,,1908.0,2019
Hospital Luzia de Pinho Melo,SPDM,,1848.0,2019
Hospital Bauru,FAMESP,,1788.0,2019
Hospital Presidente Prudente,Lar São Francisco,,1768.0,2019
Hospital Brigadeiro,SPDM,,1695.0,2019
Hospital Grajau,Sirío Libanês,,1524.0,2019
Hospital Pedreira,SPDM,,1500.0,2019
Hospital Pirajussara,SPDM,,1452.0,2019
Hospital Vila Alpina,SECONCI,,1393.0,2019
Hospital Itaim Paulista,Casa de Saúde Sta. Marcelina,,1363.0,2019
Hospital Itaquaquecetuba,Casa de Saúde Sta. Marcelina,,1314.0,2019
Hospital Local Sapopemba,SECONCI,,1290.0,2019
Hospital Itapecerica da Serra,SECONCI,,1284.0,2019
Hospital Sumaré,UNICAMP,,1275.0,2019
Hospital Diadema,SPDM,,1236.0,2019
Hospital Itapevi,Cruzada Bandeirante São Camilo,,1223.0,2019
HOSP. SOROCABA,SPDM,,1202.0,2019
Conjunto Hospitalar de Sorocaba,SECONCI - SEDE,,1192.0,2019
Hospital Base de Bauru,FAMESP,,1135.0,2019
Hospital Carapicuiba,Santa Casa de Misericórdia de Pacaembu,,1037.0,2019
HOSP. SÃO JOSÉ DOS CAMPOS,Instituto Socrates Guanaes - ISG,,1014.0,2019
Hospital Cotia,SECONCI,,984.0,2019
Hospital Itanhaem,Instituto Socrates Guanaes - ISG,,981.0,2019
Hospital Vale do Ribeira,CONSAUDE,,938.0,2019
SEDI II,SECONCI,,900.0,2019
Hospital Franco da Rocha,Lar São Francisco,,818.0,2019
CROSS,SECONCI,,768.0,2019
HOSPITAL DE REGIONAL DE REGISTRO,Instituto Socrates Guanaes - ISG,,708.0,2019
SEDI III,FIDI,,686.0,2019
Hospital Americo Brasiliense,FAEPA,,685.0,2019
Hospital Vale do Paraiba,SOCIEDADE SÃO CAMILO,,661.0,2019
Hospital Francisco Morato,Fundação ABC,,638.0,2019
Hospital Jundiaí,Sirío Libanês,,600.0,2019
CEAC Zona Norte,AFIP - Produção,,576.0,2019
AME Heliopolis,SECONCI,,528.0,2019
Hospital Penitenciario,Fundação ABC,,517.0,2019
CEAC Zona Sul,AFIP - Produção,,465.0,2019
HOSP. PIRACICABA,UNICAMP,,460.0,2019
Instituto Lucy Montouro,Fundação Faculdade de Medicina,,408.0,2019
AME Maria Zelia,SPDM,,408.0,2019
SEDI I,FIDI,,377.0,2019
CEAC Zona Leste,SPDM,,371.0,2019
Hospital Ribeirão Preto,FAEPA,,354.0,2019
Maternidade Santa Isabel,FAMESP,,353.0,2019
CRSM de Ribeirão Preto,FAEPA,,328.0,2019
Hospital João Paulo II,Lar São Francisco,,312.0,2019
AME Zona Leste,Casa de Saúde Sta. Marcelina,,299.0,2019
Hospital de Serrana,FAEPA,,284.0,2019
