OSS,Gerenciadora atual,Contratado,Pago,ano
Hospital Santo André,Fundação ABC,,1611.0,2014
Hospital Bauru,FAMESP,,1366.0,2014
Hospital Brigadeiro,SPDM,,1361.0,2014
Hospital Grajau,Sirío Libanês,,1360.0,2014
Hospital Presidente Prudente,Lar São Francisco,,1355.0,2014
Hospital Luzia de Pinho Melo,SPDM,,1315.0,2014
Hospital Pedreira,SPDM,,1271.0,2014
Hospital Local Sapopemba,SECONCI,,1069.0,2014
Hospital Vila Alpina,SECONCI,,1061.0,2014
Hospital Pirajussara,SPDM,,1046.0,2014
Hospital Carapicuiba,Cruzada Bandeirante São Camilo,,1040.0,2014
Hospital Sumaré,UNICAMP,,1036.0,2014
Hospital Itaim Paulista,Casa de Saúde Sta. Marcelina,,1034.0,2014
Hospital Itapecerica da Serra,SECONCI,,1014.0,2014
Hospital Diadema,SPDM,,977.0,2014
Hospital Itapevi,Cruzada Bandeirante São Camilo,,973.0,2014
Hospital Itaquaquecetuba,Casa de Saúde Sta. Marcelina,,960.0,2014
SEDI III,FIDI,,917.0,2014
Hospital Vale do Ribeira,CONSAUDE,,760.0,2014
Hospital Base de Bauru,FAMESP,,735.0,2014
Hospital Cotia,SECONCI,,711.0,2014
SEDI II,SECONCI,,659.0,2014
CROSS,SECONCI,,554.0,2014
Hospital Americo Brasiliense,FAEPA,,518.0,2014
Hospital Vale do Paraiba,SOCIEDADE SÃO CAMILO,,494.0,2014
AME Heliopolis,SECONCI,,482.0,2014
SEDI I,FIDI,,480.0,2014
CEAC Zona Norte,AFIP - Produção,,449.0,2014
Hospital Universitário de Taubaté,SOCIEDADE SÃO CAMILO,,431.0,2014
Instituto Lucy Montouro,Fundação Faculdade de Medicina,,370.0,2014
CEAC Zona Sul,AFIP - Produção,,369.0,2014
AME Maria Zelia,SPDM,,346.0,2014
Hospital Itanhaem,Cruzada Bandeirante São Camilo,,282.0,2014
Hospital João Paulo II,Lar São Francisco,,245.0,2014
Hospital Ribeirão Preto,FAEPA,,233.0,2014
AME São Jose do Rio Preto,Lar São Francisco,,228.0,2014
AME Zona Leste,Casa de Saúde Sta. Marcelina,,210.0,2014
AME Votuporanga,Santa Casa - Votuporanga,,209.0,2014
Hospital Guarulhos,SPDM,,195.0,2014
Maternidade Santa Isabel,FAMESP,,189.0,2014
CRSM de Ribeirão Preto,FAEPA,,188.0,2014
AME Praia Grande,Fundação ABC,,179.0,2014
AME São Jose dos Campos,SPDM,,179.0,2014
AME Presidente Prudente,Lar São Francisco,,175.0,2014
Hospital Porto Primavera,Lar São Francisco,,173.0,2014
CEADIS,SECONCI,,170.0,2014
CRI Zona Norte,Associação Santa Catarina,,160.0,2014
AME Carapicuiba,Cruzada Bandeirante São Camilo,,150.0,2014
AME Jardim dos Prados,Cruzada Bandeirante São Camilo,,150.0,2014
AME Santos,Cruzada Bandeirante São Camilo,,146.0,2014
AME Atibaia,Lar São Francisco,,146.0,2014
AME Santo André,Fundação ABC,,143.0,2014
AME Interlagos,Sirío Libanês,,141.0,2014
AME Andradina,Santa Casa - Andradina,,139.0,2014
AME Itapevi,Associação Santa Catarina,,137.0,2014
CAISM Franco da Rocha,Lar São Francisco,,133.0,2014
AME Rio Claro,UNICAMP,,121.0,2014
AME Bauru,FAMESP,,117.0,2014
Pai Zona Norte,Banco de Olhos de Sorocaba,,115.0,2014
AME Franca,Santa Casa - Franca,,113.0,2014
AME Tupã,FAMESP,,112.0,2014
