OSS,Gerenciadora atual,Contratado,Pago,ano
Hospital Santo André,Fundação ABC,,1653.0,2015
Hospital Guarulhos,SPDM,,1558.0,2015
Hospital Bauru,FAMESP,,1404.0,2015
Hospital Luzia de Pinho Melo,SPDM,,1397.0,2015
Hospital Grajau,Sirío Libanês,,1371.0,2015
Hospital Brigadeiro,SPDM,,1361.0,2015
Hospital Presidente Prudente,Lar São Francisco,,1348.0,2015
Hospital Pedreira,SPDM,,1242.0,2015
Hospital Local Sapopemba,SECONCI,,1135.0,2015
Hospital Sumaré,UNICAMP,,1116.0,2015
Hospital Pirajussara,SPDM,,1079.0,2015
Hospital Vila Alpina,SECONCI,,1078.0,2015
Hospital Itaim Paulista,Casa de Saúde Sta. Marcelina,,1077.0,2015
Hospital Itaquaquecetuba,Casa de Saúde Sta. Marcelina,,1073.0,2015
Hospital Carapicuiba,Cruzada Bandeirante São Camilo,,1058.0,2015
Hospital Itapecerica da Serra,SECONCI,,1019.0,2015
Hospital Itapevi,Cruzada Bandeirante São Camilo,,992.0,2015
Hospital Diadema,SPDM,,987.0,2015
SEDI III,FIDI,,814.0,2015
Hospital Base de Bauru,FAMESP,,810.0,2015
Hospital Vale do Ribeira,CONSAUDE,,772.0,2015
Hospital Cotia,SECONCI,,721.0,2015
SEDI II,SECONCI,,692.0,2015
CROSS,SECONCI,,648.0,2015
Hospital Franco da Rocha,Lar São Francisco,,593.0,2015
Hospital Francisco Morato,Fundação ABC,,592.0,2015
SEDI I,FIDI,,564.0,2015
Hospital Americo Brasiliense,FAEPA,,552.0,2015
Hospital Vale do Paraiba,SOCIEDADE SÃO CAMILO,,526.0,2015
AME Heliopolis,SECONCI,,482.0,2015
CEAC Zona Norte,AFIP - Produção,,475.0,2015
Hospital Universitário de Taubaté,SOCIEDADE SÃO CAMILO,,452.0,2015
Hospital Penitenciario,Fundação ABC,,423.0,2015
CEAC Zona Sul,AFIP - Produção,,380.0,2015
AME Maria Zelia,SPDM,,365.0,2015
Instituto Lucy Montouro,Fundação Faculdade de Medicina,,342.0,2015
Hospital Itanhaem,Cruzada Bandeirante São Camilo,,289.0,2015
Hospital Ribeirão Preto,FAEPA,,277.0,2015
Hospital João Paulo II,Lar São Francisco,,276.0,2015
Hospital Jundiaí,Sirío Libanês,,234.0,2015
AME Zona Leste,Casa de Saúde Sta. Marcelina,,230.0,2015
AME Caraguatatuba,SECONCI,,229.0,2015
AME São Jose do Rio Preto,Lar São Francisco,,217.0,2015
Maternidade Santa Isabel,FAMESP,,214.0,2015
AME Bourroul,SECONCI,,212.0,2015
CRSM de Ribeirão Preto,FAEPA,,210.0,2015
AME Votuporanga,Santa Casa - Votuporanga,,209.0,2015
Instituto Emilio Ribas II,Fundação ABC,,186.0,2015
AME Praia Grande,Fundação ABC,,186.0,2015
CEADIS,SECONCI,,185.0,2015
AME Presidente Prudente,Lar São Francisco,,183.0,2015
AME São Jose dos Campos,SPDM,,175.0,2015
AME Santos,Cruzada Bandeirante São Camilo,,175.0,2015
AME Araçatuba,Santa Casa - Andradina,,174.0,2015
Hospital Porto Primavera,Lar São Francisco,,173.0,2015
AME Franca,Santa Casa - Franca,,162.0,2015
AME Carapicuiba,Cruzada Bandeirante São Camilo,,157.0,2015
CRI Zona Norte,Associação Santa Catarina,,156.0,2015
AME Jardim dos Prados,Cruzada Bandeirante São Camilo,,153.0,2015
AME Sorocaba,SECONCI,,150.0,2015
AME Santo André,Fundação ABC,,144.0,2015
AME Atibaia,Lar São Francisco,,140.0,2015
AME Andradina,Santa Casa - Andradina,,139.0,2015
AME Itapevi,Associação Santa Catarina,,137.0,2015
CAISM Franco da Rocha,Lar São Francisco,,130.0,2015
AME Interlagos,Sirío Libanês,,128.0,2015
AME Dracena,Santa Casa - Dracena,,127.0,2015
AME Tupã,FAMESP,,126.0,2015
Pai Zona Norte,Banco de Olhos de Sorocaba,,120.0,2015
AME Vila Maria,SPDM,,115.0,2015
AME Bauru,FAMESP,,114.0,2015
AME Rio Claro,UNICAMP,,113.0,2015
AME Pariquera-Açú,Cruzada Bandeirante São Camilo,,112.0,2015
AME Itapetininga,FAMESP,,107.0,2015
AME Promissão,Santa Casa - Andradina,,105.0,2015
AME Jundiai,Cruzada Bandeirante São Camilo,,105.0,2015
Hospital Manuel de Abreu,FAMESP,,104.0,2015
AME Limeira,UNICAMP,,103.0,2015
AME São João da Boa Vista,UNICAMP,,102.0,2015
AME Mogi-Guaçu,UNICAMP,,101.0,2015
AME Itapeva,Santa Casa - Itapeva,,99.0,2015
AME Ourinhos,Santa Casa - Assis,,96.0,2015
AME Mauá,Fundação ABC,,96.0,2015
AME Casa Branca,CONDERG,,92.0,2015
AME Barretos (CIRURGICO),Fundação PIO XII,,91.0,2015
AME Jales,Santa Casa - Votuporanga,,90.0,2015
AME Taboão da Serra,SPDM,,90.0,2015
AME Mogi das Cruzes,SPDM,,86.0,2015
AME Barretos Geral,Fundação PIO XII,,86.0,2015
AME Catanduva,Fundação Padre Albino,,85.0,2015
AME Piracicaba,UNICAMP,,85.0,2015
AME Santa Fé do Sul,Santa Casa - Votuporanga,,82.0,2015
AME Ituverava,Santa Casa - Ituverava,,79.0,2015
AME Assis,Santa Casa - Assis,,79.0,2015
AME Itú,Cruzada Bandeirante São Camilo,,76.0,2015
Rede L. Montoro S. J. Rio Preto,FUNFARME,,70.0,2015
Pai Baixada Santista,Cruzada Bandeirante São Camilo,,67.0,2015
Helvetia,SPDM,,65.0,2015
Rede L. Montoro Santos,Cruzada Bandeirante São Camilo,,61.0,2015
Rede L. Montoro Mogi Mirm,Sirío Libanês,,57.0,2015
Rede L. Montoro São J. Campos,SPDM,,48.0,2015
AME Fernandopolis,Santa Casa - Franca,,44.0,2015
Rede L. Montoro Pariquera Açú,Cruzada Bandeirante São Camilo,,23.0,2015
Rede L. Montoro Fernandopolis,Santa Casa - Franca,,12.0,2015
Total,Total,0.0,4.1096,2015
