OSS,Gerenciadora atual,Contratado,Pago,ano
Hospital Santo André,Fundação ABC,1922.0,1917.0,2017
Hospital Guarulhos,SPDM,1769.0,1771.0,2017
Hospital Luzia de Pinho Melo,SPDM,1711.0,1712.0,2017
Hospital Bauru,FAMESP,1672.0,1672.0,2017
Hospital Presidente Prudente,Lar São Francisco,1612.0,1621.0,2017
Hospital Brigadeiro,SPDM,1520.0,1527.0,2017
Hospital Grajau,Sirío Libanês,1403.0,1405.0,2017
Hospital Pedreira,SPDM,1396.0,1399.0,2017
Hospital Local Sapopemba,SECONCI,1304.0,1312.0,2017
Hospital Itaim Paulista,Casa de Saúde Sta. Marcelina,1256.0,1265.0,2017
Hospital Itaquaquecetuba,Casa de Saúde Sta. Marcelina,1221.0,1260.0,2017
Hospital Pirajussara,SPDM,1256.0,1256.0,2017
Hospital Vila Alpina,SECONCI,1250.0,1253.0,2017
Hospital Carapicuiba,Cruzada Bandeirante São Camilo,1228.0,1227.0,2017
Hospital Itapecerica da Serra,SECONCI,1199.0,1213.0,2017
Hospital Sumaré,UNICAMP,1182.0,1200.0,2017
Hospital Diadema,SPDM,1162.0,1169.0,2017
Hospital Itapevi,Cruzada Bandeirante São Camilo,1146.0,1155.0,2017
Hospital Base de Bauru,FAMESP,1025.0,1020.0,2017
Hospital Vale do Ribeira,CONSAUDE,868.0,886.0,2017
Hospital Cotia,SECONCI,882.0,880.0,2017
SEDI II,SECONCI,855.0,852.0,2017
Hospital Franco da Rocha,Lar São Francisco,786.0,793.0,2017
CROSS,SECONCI,740.0,764.0,2017
SEDI I,FIDI,761.0,756.0,2017
Hospital Francisco Morato,Fundação ABC,671.0,673.0,2017
SEDI III,FIDI,672.0,672.0,2017
Hospital Americo Brasiliense,FAEPA,613.0,612.0,2017
Hospital Vale do Paraiba,SOCIEDADE SÃO CAMILO,631.0,583.0,2017
Hospital Universitário de Taubaté,SOCIEDADE SÃO CAMILO,576.0,579.0,2017
CEAC Zona Norte,AFIP - Produção,560.0,538.0,2017
AME Heliopolis,SECONCI,530.0,529.0,2017
Hospital Penitenciario,Fundação ABC,484.0,485.0,2017
AME Maria Zelia,SPDM,417.0,424.0,2017
CEAC Zona Sul,AFIP - Produção,,413.0,2017
Instituto Lucy Montouro,Fundação Faculdade de Medicina,390.0,396.0,2017
Hospital Jundiaí,Sirío Libanês,316.0,376.0,2017
CEAC Zona Leste,SPDM,345.0,354.0,2017
Hospital João Paulo II,Lar São Francisco,308.0,318.0,2017
Maternidade Santa Isabel,FAMESP,309.0,317.0,2017
Hospital Ribeirão Preto,FAEPA,300.0,301.0,2017
Hospital Itanhaem,Instituto Socrates Guanaes - ISG,,293.0,2017
AME Zona Leste,Casa de Saúde Sta. Marcelina,275.0,276.0,2017
CRSM de Ribeirão Preto,FAEPA,247.0,252.0,2017
AME São Jose do Rio Preto,Lar São Francisco,256.0,252.0,2017
AME Votuporanga,Santa Casa - Votuporanga,234.0,225.0,2017
